Cartera de préstamos hipotecarios al día 13.03.2007
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2008,4 0,02,63.543,46 0,00,16,25 20/07/2008
2009,32 0,17,473.606,18 0,03,28,84 7/08/2009
2010,61 0,33,1.273.647,13 0,07,40,70 3/08/2010
2011,84 0,46,1.907.691,56 0,10,52,01 13/07/2011
2012,163 0,88,4.035.915,17 0,22,64,46 26/07/2012
2013,175 0,95,4.306.870,12 0,24,75,39 24/06/2013
2014,179 0,97,6.195.521,87 0,34,87,86 8/07/2014
2015,232 1,26,10.509.826,26 0,58,101,27 20/08/2015
2016,336 1,82,16.463.115,08 0,90,110,69 2/06/2016
2017,245 1,33,11.137.561,04 0,61,124,44 26/07/2017
2018,322 1,75,17.727.594,96 0,97,135,30 21/06/2018
2019,253 1,37,14.680.417,04 0,81,147,87 9/07/2019
2020,528 2,86,33.331.484,97 1,83,160,99 11/08/2020
2021,726 3,94,51.878.235,37 2,85,170,16 17/05/2021
2022,294 1,59,19.085.972,11 1,05,184,26 21/07/2022
2023,398 2,16,28.036.298,02 1,54,196,05 14/07/2023
2024,569 3,09,43.386.988,90 2,38,207,42 24/06/2024
2025,1.103 5,98,90.284.763,77 4,95,221,12 15/08/2025
2026,1.121 6,08,106.885.939,77 5,86,229,76 5/05/2026
2027,368 2,00,30.161.399,15 1,65,244,41 25/07/2027
2028,536 2,91,49.064.598,73 2,69,255,84 7/07/2028
2029,769 4,17,73.998.637,01 4,06,268,36 23/07/2029
2030,1.406 7,63,139.399.293,11 7,65,281,33 22/08/2030
2031,1.502 8,15,167.217.331,36 9,17,289,51 28/04/2031
2032,121 0,66,14.077.670,66 0,77,303,52 28/06/2032
2033,262 1,42,27.954.666,29 1,53,316,28 21/07/2033
2034,625 3,39,69.432.030,65 3,81,328,36 23/07/2034
2035,2.209 11,98,270.607.945,65 14,84,341,68 2/09/2035
2036,2.893 15,69,375.698.294,64 20,60,349,41 24/04/2036
2037,38 0,21,5.540.515,51 0,30,361,79 6/05/2037
2038,18 0,10,2.599.967,58 0,14,375,60 30/06/2038
2039,24 0,13,3.869.861,34 0,21,386,94 11/06/2039
2040,118 0,64,17.911.163,30 0,98,403,22 18/10/2040
2041,701 3,80,110.330.778,36 6,05,409,72 4/05/2041
2042,5 0,03,969.415,46 0,05,422,96 11/06/2042
2044,3 0,02,570.950,64 0,03,447,21 18/06/2044
2045,1 0,01,157.734,00 0,01,462,78 5/10/2045
2046,10 0,05,2.123.097,38 0,12,470,12 16/05/2046
Total 18.434 100,00 1.823.350.343,60 100,00,,,
Media ponderada: 292,08 15/07/2031
Media simple: 266,15 17/05/2029
Mínimo: 12,22 19/03/2008
Máximo: 473,13 16/08/2046
* Vida residual a la fecha de vencimiento final (en meses y fecha) son medias ponderadas por el principal pendiente de
los préstamos hipotecarios que tienen el vencimiento final en el año correspondiente.,,,
