,,,,31.12.2007,31.12.2006,,(A)/(B)
,,,,,,,
,BALANCE (millones de euros),,,,,,
,,,,1.055,965,1,093,
,,,,911,799,,1,140
,,,,890,848,,1,049
,,,,,,,-
,,,,890,,,1,042
,,,,80,,,1,123
,,,,79,,,1,121
,,,,,,,
CUENTA DE RESULTADOS (millones de euros),,,,,,,
,,,,32,24,,1,314
,,,,38,30,,1,269
,,,,39,31,,1,244
,,,,18,12,,1,537
,,,,11,8,,1,258
,,,,,,,
RATIOS RELEVANTES (%),,,,,,,
,,,,1,73,1,39,,
,,,,13,41,10,14,,
,,,,0,79,0,77,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,RATIOS DE CAPITAL (NORMATIVA BIS) (%),,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,INFORMACIÓN ADICIONAL,,,,,,
,,,,,,,
,,,,28.461,27.241,,
,,,,301,289,,
,,,,106,103,,
