Cartera de préstamos hipotecarios al día 19.05.2008
Clasificación por fecha formalización del préstamo,,
Intervalo de fechas,Préstamos hipotecarios
%,Principal pendiente
(euros) %
01/07/2000 a 31/12/2000,99 0,44,3.635.366,94 0,16
01/01/2001 a 30/06/2001,192 0,84,8.106.460,25 0,37
01/07/2001 a 31/12/2001,346 1,52,16.280.605,28 0,74
01/01/2002 a 30/06/2002,294 1,29,14.242.499,86 0,65
01/07/2002 a 31/12/2002,499 2,20,29.977.946,95 1,36
01/01/2003 a 30/06/2003,464 2,04,31.082.366,59 1,41
01/07/2003 a 31/12/2003,517 2,27,37.773.830,78 1,71
01/01/2004 a 30/06/2004,633 2,78,51.303.950,78 2,33
01/07/2004 a 31/12/2004,1.052 4,63,81.368.078,19 3,69
01/01/2005 a 30/06/2005,1.238 5,45,103.338.013,57 4,68
01/07/2005 a 31/12/2005,1.957 8,61,158.184.300,64 7,17
01/01/2006 a 30/06/2006,2.854 12,56,272.529.806,51 12,35
01/07/2006 a 31/12/2006,4.755 20,92,527.156.952,11 23,89
01/01/2007 a 30/06/2007,5.118 22,52,589.909.611,94 26,74
01/07/2007 a 31/12/2007,2.116 9,31,265.525.211,79 12,03
Total 22.731 100,00 2.206.326.931,03 100,00,,
24,23 Meses Antigüedad media po nd erada
193,02 Meses Antigüedad máxima
4,60 Meses Antigüedad mínima,,
