Cartera de préstamos hipotecarios al día 19.05.2008
Clasificación por tipos de interés nominales mínimos aplicables,,,
Intervalo % Tipo Interés
mínimo,Préstamos hipotecarios
%,Principal pendiente
(euros) %,%Tipo*
interés mín.
0,50 - 0,99,1 0,00,177.015,91 0,01,0,60
1,00 - 1,49,4 0,02,434.204,64 0,02,1,00
1,50 - 1,99,4 0,02,437.370,00 0,02,1,64
2,00 - 2,49,116 0,51,15.421.088,34 0,70,2,07
2,50 - 2,99,3.498 15,39,356.852.278,23 16,17,2,64
3,00 - 3,49,3.395 14,94,290.872.114,95 13,18,3,03
3,50 - 3,99,3.744 16,47,359.570.143,49 16,30,3,63
4,00 - 4,49,2.322 10,22,238.115.822,53 10,79,4,10
4,50 - 4,99,326 1,43,33.416.626,62 1,51,4,62
5,00 - 5,49,200 0,88,12.044.873,10 0,55,5,04
5,50 - 5,99,27 0,12,1.883.593,60 0,09,5,54
6,00 - 6,49,7 0,03,176.336,23 0,01,6,02
6,50 - 6,99,1 0,00,54.023,95 0,00,6,50
7,50 - 7,99,3 0,01,40.473,65 0,00,7,50
8,00 - 8,49,2 0,01,27.985,01 0,00,8,00
Sin T.I.N. mínimo aplicable,9.081 39,95,896.802.980,78 40,65,
Total 22.731 100,00 2.206.326.931,03 100,00,,,
*Tipo de interé s n ominal medio d e l intervalo ponderado por el principal pendiente.,,,
