Cartera de préstamos hipotecarios al día 19.05.2008
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2023,325 1,43,20.282.360,40 0,92,181,09 22/06/2023
2024,453 1,99,31.032.375,31 1,41,193,84 14/07/2024
2025,765 3,37,52.314.401,04 2,37,206,10 22/07/2025
2026,1.234 5,43,94.164.239,85 4,27,218,16 24/07/2026
2027,1.142 5,02,100.354.687,47 4,55,228,51 4/06/2027
2028,465 2,05,38.592.523,07 1,75,241,48 3/07/2028
2029,560 2,46,48.469.746,73 2,20,253,75 12/07/2029
2030,916 4,03,85.172.744,88 3,86,265,80 13/07/2030
2031,1.560 6,86,157.103.580,06 7,12,278,43 2/08/2031
2032,1.520 6,69,167.151.856,94 7,58,288,25 26/05/2032
2033,237 1,04,28.085.431,71 1,27,301,71 10/07/2033
2034,517 2,27,59.851.700,32 2,71,314,35 30/07/2034
2035,900 3,96,101.651.904,64 4,61,326,23 27/07/2035
2036,2.506 11,02,303.730.199,09 13,77,338,60 6/08/2036
2037,2.357 10,37,299.402.344,51 13,57,348,03 20/05/2037
2038,63 0,28,10.312.853,38 0,47,360,41 1/06/2038
2039,47 0,21,6.769.274,34 0,31,372,99 19/06/2039
2040,102 0,45,16.398.028,77 0,74,386,76 11/08/2040
2041,796 3,50,121.508.986,84 5,51,399,40 31/08/2041
2042,1.209 5,32,182.323.219,74 8,26,407,96 18/05/2042
2043,20 0,09,3.312.587,47 0,15,420,35 31/05/2043
2044,18 0,08,2.647.992,89 0,12,433,96 18/07/2044
2045,12 0,05,2.413.095,90 0,11,445,02 19/06/2045
2046,68 0,30,13.011.849,18 0,59,459,91 16/09/2046
2047,259 1,14,45.104.796,85 2,04,469,56 6/07/2047
2048,6 0,03,986.975,00 0,04,478,48 3/04/2048
2049,2 0,01,618.000,00 0,03,497,10 21/10/2049
Total 22.731 100,00 2.206.326.931,03 100,00,,,
Media p on derada: 300,79 12/06/2033
Media simple: 266,13 23/07/2030
Mínimo: 9,82 14/03/2009
Máximo: 497,68 08/11/2049
* Vida residual a la fecha de vencimiento final (en meses y fecha) son medias ponderadas por el principal pendiente de
los préstamos hipotecarios que tienen el vencimiento final en el año correspondiente.,,,
