Fondo,Fecha Constitución,Emitido,Saldo Bonos
31 de diciembre de 2007
Fondos de Titulización Hipotecaria,,,
TDA 4 - F.T.H.,22-abr-98,150.253.027€,22.661.439€
TDA 5 - F.T.H.,16-oct-98,1.171.973.634€,138.217.420€
TDA 6 - F.T.H.,20-ene-99,351.500.000€,56.494.880€
TDA 7 - F.T.H.,12-mar-99,1.051.700.000€,224.595.734€
TDA 8 - F.T.H.,9-abr-99,150.200.000€,37.938.978€
TDA 9 - F.T.H.,12-may-99,332.400.000€,71.921.165€
TDA 10 - F.T.H.,21-jul-99,240.500.000€,41.200.973€
TDA 11 - F.T.H.,24-ene-00,660.600.000€,160.040.976€
TDA 12 - F.T.H.,26-jun-00,513.900.000€,137.280.237€
Fondos de Titulización de Activos,,,
TDA 13-MIXTO - F.T.A.,5-dic-00,389.500.000€,116.674.900€
TDA 14-MIXTO - F.T.A.,20-jun-01,601.100.000€,210.520.777€
TDA 15-MIXTO - F.T.A.,4-nov-02,450.900.000€,201.731.878€
TDA 16-MIXTO - F.T.A.,26-may-03,532.000.000€,200.689.910€
TDA 17-MIXTO - F.T.A.,24-oct-03,455.000.000€,202.678.353€
TDA 18-MIXTO - F.T.A.,14-nov-03,421.000.000€,192.359.716€
TDA 19-MIXTO - F.T.A.,27-feb-04,600.000.000€,302.811.726€
TDA 20-MIXTO - F.T.A.,25-jun-04,421.000.000€,249.241.059€
TDA 21-MIXTO - F.T.A.,23-jul-04,775.000.000€,392.181.390€
TDA 22-MIXTO - F.T.A.,1-dic-04,530.000.000€,282.957.501€
TDA 23 - F.T.A.,17-mar-05,860.000.000€,530.035.955€
TDA 24- F.T.A.,28-nov-05,485.000.000€,352.494.461€
TDA 25- F.T.A.,29-jul-06,265.000.000€,209.555.822€
TDA 26-MIXTO - F.T.A.,5-jul-06,908.100.000€,755.865.472€
TDA 27- F.T.A.,20-dic-06,930.600.000€,817.525.320€
TDA 28- F.T.A.,18-jul-07,451.350.000€,444.484.183€
TDA 29- F.T.A.,25-jul-07,814.900.000€,792.619.980€
TDA PASTOR 1 - F.T.A.,25-feb-03,494.600.000€,212.076.796€
TDA CAM 1 - F.T.A.,13-mar-03,1.000.000.000€,463.195.745€
TDA CAM 2 - F.T.A.,27-jun-03,1.100.000.000€,520.579.325€
TDA CAM 3 - F.T.A.,16-ene-04,1.200.000.000€,616.404.743€
TDA CAM 4 - F.T.A.,9-mar-05,2.000.000.000€,1.277.594.080€
TDA CAM 5 - F.T.A.,5-oct-05,2.000.000.000€,1.519.628.074€
TDA CAM 6 - F.T.A.,29-mar-06,1.300.000.000€,1.070.955.696€
TDA CAM 7 - F.T.A.,13-oct-06,1.750.000.000€,1.568.007.372€
TDA CAM 8 - F.T.A.,7-mar-07,1.712.800.000€,1.590.528.338€
TDA CAM 9 - F.T.A.,3-jul-07,1.515.000.000€,1.484.654.023€
TDA CAM 10 - F.T.A.,5-dic-07,1.423.500.000€,1.423.500.000€
TDA IBERCAJA 1 - F.T.A.,8-oct-03,600.000.000€,331.723.385€
TDA IBERCAJA 2 - F.T.A.,13-oct-05,904.500.000€,696.513.269€
TDA IBERCAJA 3 - F.T.A.,12-may-06,1.007.000.000€,820.925.600€
TDA IBERCAJA 4 - F.T.A.,18-oct-06,1.410.500.000€,1.228.711.770€
TDA IBERCAJA 5 - F.T.A.,11-may-07,1.207.000.000€,1.143.084.022€
TDA CAJAMAR 2 - F.T.A.,18-may-05,1.000.000.000€,641.074.748€
TDA TARRAGONA 1, F.T.A.,30-nov-07,397.400.000€,397.400.000€
CAIXA PENEDES 1 TDA - F.T.A.,18-oct-06,1.000.000.000€,891.319.620€
CAIXA PENEDES 2 TDA - F.T.A.,26-sep-07,750.000.000€,750.000.000€
MADRID RMBS I - F.T.A.,15-nov-06,2.000.000.000€,1.802.026.764€
MADRID RMBS II - F.T.A.,12-dic-06,1.800.000.000€,1.633.127.861€
MADRID RMBS III - F.T.A.,11-jul-07,3.000.000.000€,2.944.145.012€
MADRID RMBS IV - F.T.A.,19-dic-07,2.400.000.000€,2.400.000.000€
TDA PASTOR CONSUMO 1 - F.T.A.,26-abr-07,300.000.000€,300.000.000€
FTPYME TDA 3 - F.T.A.,14-feb-02,225.055.000€,24.815.724€
FTPYME TDA 4 - F.T.A.,10-oct-03,250.000.000€,72.222.769€
FTPYME TDA 5 - F.T.A.,29-dic-04,200.000.000€,73.207.485€
FTPYME TDA 6 - F.T.A.,24-nov-05,150.000.000€,86.017.733€
FTPYME TDA 7 - F.T.A.,21-dic-07,290.400.000€,290.400.000€
FTPYME TDA SABADELL 1 - F.T.A.,3-jun-02,600.000.000€,114.215.784€
FTPYME TDA SABADELL 2 - F.T.A.,12-nov-03,500.000.000€,255.216.473€
FTPYME TDA CAM 1 - F.T.A.,17-jun-02,600.000.000€,107.210.187€
FTPYME TDA CAM 2 - F.T.A.,17-nov-04,750.000.000€,350.238.910€
FTPYME TDA CAM 4 - F.T.A.,13-dic-06,1.529.300.000€,1.183.400.106€
CIBELES III FTPYME - F.T.A.,18-dic-03,500.000.000€,248.030.089€
FTPYME TDA BANCA MARCH - F.T.A.,25-oct-04,200.000.000€,81.074.685€
CM BANCAJA 1 - F.T.A.,28-sep-05,556.200.000€,306.195.918€
EMPRESAS HIPOTECARIO TDA CAM 3 - F.T.A.,7-jul-06,750.000.000€,634.643.430€
EMPRESAS HIPOTECARIO TDA CAM 5 - F.T.A.,17-oct-07,1.430.800.000€,1.430.800.000€
CAIXA PENEDES PYMES 1 - F.T.A.,22-jun-07,790.000.000€,732.200.744€
TDA EMPRESAS PASTOR 5 - F.T.A.,17-dic-07,568.700.000€,568.700.000€
MADRID EMPRESAS I - F.T.A.,22-dic-07,780.000.000€,780.000.000€
CÉDULAS TDA 1 - F.T.A.,12-jun-03,1.750.000.000€,1.750.000.000€
CÉDULAS TDA 2 - F.T.A.,13-nov-03,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 3 - F.T.A.,25-feb-04,2.000.000.000€,2.000.000.000€
