Fondo,Fecha Constitución,Emitido,Saldo Bonos
30 de noviembre de 2009
Fondos de Titulización Hipotecaria,,,
TDA 7 - F.T.H.,12-mar-99,1.051.700.000€,142.471.127,20€
TDA 8 - F.T.H.,9-abr-99,150.200.000€,26.706.538,08€
TDA 9 - F.T.H.,12-may-99,332.400.000€,49.375.950,00€
TDA 10 - F.T.H.,21-jul-99,240.500.000€,26.514.545,88€
TDA 11 - F.T.H.,24-ene-00,660.600.000€,108.192.640,80€
TDA 12 - F.T.H.,26-jun-00,513.900.000€,95.793.962,48€
TDA IBERCAJA ICO-FTVPO - F.T.H,14-jul-09,447.200.000€,438.273.637,10€
Fondos de Titulización de Activos,,,
TDA 13-MIXTO - F.T.A.,5-dic-00,389.500.000€,85.024.395,81€
TDA 14-MIXTO - F.T.A.,20-jun-01,601.100.000€,159.739.597,66€
TDA 15-MIXTO - F.T.A.,4-nov-02,450.900.000€,161.173.521,38€
TDA 16-MIXTO - F.T.A.,26-may-03,532.000.000€,158.854.693,36€
TDA 17-MIXTO - F.T.A.,24-oct-03,455.000.000€,148.513.494,62€
TDA 18-MIXTO - F.T.A.,14-nov-03,421.000.000€,154.936.812,62€
TDA 19-MIXTO - F.T.A.,27-feb-04,600.000.000€,251.621.570,19€
TDA 20-MIXTO - F.T.A.,25-jun-04,421.000.000€,194.821.292,50€
TDA 21-MIXTO - F.T.A.,23-jul-04,775.000.000€,270.791.386,16€
TDA 22-MIXTO - F.T.A.,1-dic-04,530.000.000€,231.663.980,69€
TDA 23 - F.T.A.,17-mar-05,860.000.000€,428.980.556,60€
TDA 24- F.T.A.,28-nov-05,485.000.000€,291.268.943,74€
TDA 25- F.T.A.,29-jul-06,265.000.000€,180.933.040,56€
TDA 26-MIXTO - F.T.A.,5-jul-06,908.100.000€,553.334.434,62€
TDA 27- F.T.A.,20-dic-06,930.600.000€,673.539.648,45€
TDA 28- F.T.A.,18-jul-07,451.350.000€,382.717.162,80€
TDA 29- F.T.A.,25-jul-07,814.900.000€,629.122.108,99€
TDA 30- F.T.A.,12-mar-08,388.200.000€,341.871.720,48€
TDA 31- F.T.A.,19-nov-08,300.000.000€,263.846.411,10€
TDA PASTOR 1 - F.T.A.,25-feb-03,494.600.000€,159.353.544,28€
TDA CAM 1 - F.T.A.,13-mar-03,1.000.000.000€,363.055.499,50€
TDA CAM 2 - F.T.A.,27-jun-03,1.100.000.000€,393.652.817,12€
TDA CAM 3 - F.T.A.,16-ene-04,1.200.000.000€,457.344.656,64€
TDA CAM 4 - F.T.A.,9-mar-05,2.000.000.000€,1.016.636.275,20€
TDA CAM 5 - F.T.A.,5-oct-05,2.000.000.000€,1.223.004.778,40€
TDA CAM 6 - F.T.A.,29-mar-06,1.300.000.000€,829.310.066,10€
TDA CAM 7 - F.T.A.,13-oct-06,1.750.000.000€,1.213.591.027,75€
TDA CAM 8 - F.T.A.,7-mar-07,1.712.800.000€,1.250.481.905,32€
TDA CAM 9 - F.T.A.,3-jul-07,1.515.000.000€,1.106.021.398,70€
TDA CAM 10 - F.T.A.,5-dic-07,1.423.500.000€,1.092.754.366,62€
TDA CAM 11 - F.T.A.,12-nov-08,1.716.000.000€,1.608.280.510,56€
TDA CAM 12 - F.T.A.,6-feb-09,1.976.000.000€,1.880.964.318,00€
TDA IBERCAJA 1 - F.T.A.,8-oct-03,600.000.000€,253.607.445,24€
TDA IBERCAJA 2 - F.T.A.,13-oct-05,904.500.000€,553.550.567,67€
TDA IBERCAJA 3 - F.T.A.,12-may-06,1.007.000.000€,683.185.376,00€
TDA IBERCAJA 4 - F.T.A.,18-oct-06,1.410.500.000€,990.179.747,68€
TDA IBERCAJA 5 - F.T.A.,11-may-07,1.207.000.000€,934.341.647,80€
TDA IBERCAJA 6 - F.T.A.,20-jun-08,1.521.000.000€,1.365.467.760,00€
TDA CAJAMAR 2 - F.T.A.,18-may-05,1.000.000.000€,528.366.697,50€
TDA TARRAGONA 1, F.T.A.,30-nov-07,397.400.000€,345.377.596,16€
CAIXA PENEDES 1 TDA - F.T.A.,18-oct-06,1.000.000.000€,715.288.135,00€
CAIXA PENEDES 2 TDA - F.T.A.,26-sep-07,750.000.000€,600.307.173,21€
TDA UNICAJA 1 - F.T.A.,9-may-08,419.600.000€,367.131.159,72€
UNICAJA TDA VPO - F.T.A,18-jun-09,188.800.000€,185.773.479,36€
MADRID RMBS I - F.T.A.,15-nov-06,2.000.000.000€,1.276.525.046,00€
MADRID RMBS II - F.T.A.,12-dic-06,1.800.000.000€,1.139.259.542,40€
MADRID RMBS III - F.T.A.,11-jul-07,3.000.000.000€,2.113.449.230,00€
MADRID RMBS IV - F.T.A.,19-dic-07,2.400.000.000€,1.754.034.653,52€
TDA CREDIFIMO 1 - F.T.A.,1-ago-08,317.300.000€,269.910.398,75€
MADRID RESIDENCIAL I - F.T.A.,26-dic-08,607.700.000€,533.832.545,75€
MADRID ICO-FTVPO I - F.T.A.,19-dic-08,260.300.000€,231.466.360,76€
SOL-LION, F.T.A.,18-may-09,4.500.000.000€,4.329.046.368,00€
CAJA INGENIEROS TDA 1 - F.T.A,30-jun-09,270.000.000€,263.186.360,48€
TDA PASTOR CONSUMO 1 - F.T.A.,26-abr-07,300.000.000€,175.790.156,97€
TDA CCM CONSUMO 1 - F.T.A.,28-may-08,375.000.000€,205.204.077,00€
MADRID CONSUMO I - F.T.A.,17-dic-08,1.239.700.000€,771.155.756,91€
CAMGE CONSUMO TDA CAM 1, F.T.A.,22-abr-09,830.000.000€,679.350.948,20€
FTPYME TDA 4 - F.T.A.,10-oct-03,250.000.000€,36.976.948,67€
FTPYME TDA 5 - F.T.A.,29-dic-04,200.000.000€,37.759.600,26€
FTPYME TDA 6 - F.T.A.,24-nov-05,150.000.000€,54.750.566,40€
FTPYME TDA 7 - F.T.A.,21-dic-07,290.400.000€,204.650.259,21€
FTPYME TDA SABADELL 1 - F.T.A.,3-jun-02,600.000.000€,66.313.284,30€
FTPYME TDA SABADELL 2 - F.T.A.,12-nov-03,500.000.000€,121.884.967,25€
