Gastos de constitución del Fondo y emisión de los Bonos,,,Euros,,
,,,,,
,Registro del Folleto Informativo en la CNMV,,,41.422,13,
Supervisión del proceso de admisión a cotización por la CNMV,,,9.550,87,,
Tarifa de admisión a cotización en AIAF Mercado de Renta Fija,,,63.800,00,,
Inclusión de la emisión en el registro de anotaciones en cuenta,
IBERCLEAR,,,1.740,00,,
,,,,,
,Subtotal (gastos de admisión a cotización),,,116.513,00,
Aranceles notariales, honorarios de auditoría, calificación, aseso-
ramiento legal y otros.,,,253.487,00,,
Total gastos,,,370.000,00,,
