Elaborado,,,
,,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 7
(División por fecha de formalización),,
,,,
,VENCIMIENTO TIPO ACTUAL
VENCIMIENTO INICIAL
SALDO ACTUAL RESIDUAL PONDERADO PONDERADO POR Min. TIPO Máx. TIPO
AÑO DE FORMALIZACION NUM SALDO ACTUAL (euros) PONDERADO POR
(%) POR SALDO ACTUAL SALDO ACTUAL ACTUAL (%) ACTUAL (%)
SALDO INICIAL (meses)
(meses) (%),,
,1993 4 145.521,65 0,01 359,43 198,05 3,68 2,750 5,250
1994 49 2.017.369,24 0,09 281,89 110,70 4,17 1,911 6,500
1995 166 6.064.803,63 0,27 272,01 108,17 4,09 1,811 7,277
1996 54 2.141.897,01 0,10 292,65 145,75 4,07 1,884 7,000
1997 146 5.470.687,31 0,25 274,90 132,87 3,32 1,811 5,750
1998 24 1.303.721,90 0,06 300,69 174,78 3,50 2,094 6,500
1999 29 1.580.076,63 0,07 301,82 193,87 3,47 2,084 6,248
2000 31 1.961.139,89 0,09 301,28 205,91 3,51 2,060 6,250
2001 70 4.413.088,33 0,20 299,36 213,47 2,92 1,711 5,500
2002 184 13.962.647,80 0,63 289,95 213,49 3,11 1,784 6,250
2003 259 20.428.521,57 0,92 282,44 218,89 2,91 1,761 6,498
2004 652 73.463.931,61 3,29 327,95 273,62 2,76 1,661 6,998
2005 1.249 176.555.784,47 7,92 349,15 304,11 2,27 1,611 8,248
2006 3.013 458.452.276,55 20,56 360,11 327,81 2,18 1,584 6,998
2007 5.865 945.332.130,72 42,40 389,25 365,40 2,18 1,581 6,748
2008 3.251 475.825.948,66 21,34 372,65 357,95 2,18 1,581 7,500
2009 312 40.488.485,92 1,82 363,76 355,76 2,39 1,611 6,550,,
,TOTALES 15.358 2.229.608.032,89 100 369,74 343,34 2,24 1,581 8,248,,
,,,
,* Antigüedad media ponderada: 33,29 meses,,
58,,,
