Elaborado con datos a 18/11/2009,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 7
(División por tipo de interés actual),
,,
,VENCIMIENTO TIPO ACTUAL
TIPO DE INTERÉS SALDO VENCIMIENTO INICIAL
RESIDUAL PONDERADO PONDERADO POR Min. TIPO Máx. TIPO
ACTUAL NUM SALDO ACTUAL (euros) ACTUAL PONDERADO POR
POR SALDO ACTUAL SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(%) (%) SALDO INICIAL (meses)
(meses) (%),
,1,50 - 2,00 5.597 873.075.284,88 39,16 377,38 352,53 1,81 1,581 1,994
2,00 - 2,50 7.033 1.074.968.759,97 48,21 375,94 349,74 2,17 2,000 2,496
2,50 - 3,00 863 98.986.500,30 4,44 337,10 300,76 2,67 2,500 2,996
3,00 - 3,50 421 36.202.988,75 1,62 292,78 246,51 3,20 3,000 3,491
3,50 - 4,00 399 39.886.780,48 1,79 338,06 303,78 3,77 3,500 3,991
4,00 - 4,50 228 18.766.243,64 0,84 290,12 241,49 4,15 4,000 4,455
4,50 - 5,00 282 32.982.101,68 1,48 345,09 314,14 4,77 4,500 4,952
5,00 - 5,50 152 12.622.548,77 0,57 279,93 228,22 5,15 5,000 5,452
5,50 - 6,00 245 31.595.610,00 1,42 356,34 328,69 5,75 5,500 5,998
6,00 - 6,50 9 7 8.410.008,05 0,38 309,93 276,15 6,18 6,000 6,498
6,50 - 7,00 2 8 1.661.557,74 0,07 282,47 239,99 6,62 6,500 6,998
7,00 - 7,50 1 1 389.083,79 0,02 274,84 167,60 7,07 7,000 7,277
7,50 - 8,00 1 2 9.937,27 0 180,00 168,00 7,50 7,500 7,500
8,00 - 8,50 1 30.627,57 0 180,00 126,00 8,25 8,248 8,248,
,TOTALES 15.358 2.229.608.032,89 100 369,74 343,34 2,24 1,581 8,248,
60,,
