Elabora,,,
,,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 7
(División por saldo actual),,
,,,
,VENCIMIENTO TIPO ACTUAL
SALDO VENCIMIENTO INICIAL SALDO
RESIDUAL PONDERADO PONDERADO POR Min. TIPO Máx. TIPO
SALDO ACTUAL (euros) NUM SALDO ACTUAL (euros) ACTUAL PONDERADO POR ACTUAL MEDIO
POR SALDO ACTUAL SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(%) SALDO INICIAL (meses) (euros)
(meses) (%),,
,Inferior a 25.000,00 44 1.012.674,58 0,05 255,55 123,14 3,65 23.015,33 1,832 6,098
25.000,00 - 50.000,00 1.235 46.536.413,75 2,09 242,67 168,00 3,00 37.681,31 1,581 8,248
50.000,00 - 75.000,00 1.455 91.249.142,23 4,09 262,21 221,61 2,63 62.714,19 1,581 7,202
75.000,00 - 100.000,00 1.667 145.855.149,96 6,54 299,12 268,75 2,44 87.495,59 1,581 6,500
100.000,00 - 125.000,00 1.803 204.909.294,19 9,19 340,20 312,93 2,26 113.649,08 1,591 6,748
125.000,00 - 150.000,00 2.507 344.840.881,09 15,47 369,41 341,31 2,20 137.551,21 1,581 6,350
150.000,00 - 175.000,00 2.128 345.031.637,75 15,47 384,30 355,34 2,19 162.138,93 1,591 6,500
175.000,00 - 200.000,00 1.635 305.510.932,66 13,70 399,82 371,89 2,20 186.856,84 1,584 6,100
200.000,00 - 225.000,00 1.070 226.075.711,44 10,14 406,67 378,18 2,17 211.285,71 1,581 6,350
225.000,00 - 250.000,00 699 165.329.446,22 7,42 410,63 382,04 2,15 236.522,81 1,591 5,850
250.000,00 - 275.000,00 395 103.225.226,57 4,63 409,82 382,35 2,12 261.329,69 1,591 5,748
275.000,00 - 300.000,00 242 69.474.872,09 3,12 414,80 384,55 2,05 287.086,25 1,591 5,668
300.000,00 - 325.000,00 148 46.350.218,23 2,08 388,31 357,74 2,15 313.177,15 1,631 5,900
325.000,00 - 350.000,00 98 33.204.380,84 1,49 410,16 378,85 2,13 338.820,21 1,661 5,750
350.000,00 - 375.000,00 67 24.157.875,05 1,08 404,39 375,28 2,42 360.565,30 1,631 5,850
375.000,00 - 400.000,00 48 18.592.527,10 0,83 396,67 365,68 2,18 387.344,31 1,631 6,100
400.000,00 - 425.000,00 34 14.032.769,54 0,63 400,48 370,47 2,08 412.728,52 1,631 3,474
425.000,00 - 450.000,00 17 7.451.834,02 0,33 402,87 377,72 2,11 438.343,18 1,631 3,500
450.000,00 - 475.000,00 21 9.677.295,39 0,43 355,44 323,69 1,99 460.823,59 1,684 2,421
475.000,00 - 500.000,00 6 2.934.876,48 0,13 457,60 431,08 1,98 489.146,08 1,782 2,200
500.000,00 - 525.000,00 13 6.620.723,39 0,30 382,90 353,12 2,02 509.286,41 1,784 2,610
525.000,00 - 550.000,00 2 1.089.937,44 0,05 420,97 391,00 2,08 544.968,72 1,962 2,194
550.000,00 - 575.000,00 5 2.818.582,87 0,13 352,16 314,00 1,89 563.716,57 1,704 2,062
575.000,00 - 600.000,00 5 2.950.325,18 0,13 371,15 337,46 2,27 590.065,04 1,711 3,159
600.000,00 - 625.000,00 4 2.438.911,57 0,11 251,16 230,61 2,02 609.727,89 1,761 2,271
625.000,00 - 650.000,00 1 634.284,24 0,03 420,00 391,00 1,78 634.284,24 1,784 1,784
650.000,00 - 675.000,00 1 651.223,17 0,03 120,00 98,00 2,36 651.223,17 2,360 2,360
675.000,00 - 700.000,00 1 685.438,91 0,03 480,00 452,00 2,21 685.438,91 2,210 2,210
700.000,00 - 725.000,00 2 1.432.005,24 0,06 420,00 385,50 2,11 716.002,62 2,060 2,160
775.000,00 - 800.000,00 1 795.426,06 0,04 397,00 331,00 4,62 795.426,06 4,620 4,620
875.000,00 - 900.000,00 1 880.000,00 0,04 444,00 408,00 1,86 880.000,00 1,862 1,862
1.000.000,00 - 1.025.000,00 1 1.000.000,00 0,04 240,00 233,00 3,00 1.000.000,00 3,000 3,000
1.050.000,00 - 1.075.000,00 1 1.066.649,79 0,05 360,00 325,00 1,73 1.066.649,79 1,734 1,734
1.075.000,00 - 1.100.000,00 1 1.091.365,85 0,05 240,00 222,00 2,22 1.091.365,85 2,221 2,221,,
,TOTALES 15.358 2 .229.608.032,89 100 369,74 343,34 2,24 145.175,68 1,581 8,248,,
61,,,
