Elaborado con datos a 18/11/2009,,,
,,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 7
(Concentración por deudor),,
,,,
,DEUDOR NUM SALDO ACTUAL (euros) SALDO ACTUAL (%),,
,1 1 1 .091.365,85 0,05%
2 1 1 .066.649,79 0,05%
3 1 1 .000.000,00 0,04%
4 1 8 80.000,00 0,04%
5 1 7 95.426,06 0,04%
6 2 7 78.092,46 0,03%
7 2 7 28.181,72 0,03%
8 1 7 16.107,89 0,03%
9 1 7 15.897,35 0,03%
10 1 6 85.438,91 0,03%
Resto 15.346 2.221.150.872,86 99,62%,,
,TOTALES 15.358 2.229.608.032,89 100,00%,,
* Los 10 primeros Deudores suponen un 0,38% de la cartera auditada
64,,,
