Fondo,,,Fecha
Constitución,Emitido,Saldo Bonos,,
,Fondos de Titulización Hipotecaria,,,,,30 de junio de 2006,
,TDA 4 - F.T.H,,22-abr-98,150.253.027€,33.568.981€,,
,TDA 5 - F.T.H,,16-oct-98,1.171.973.634€,212.752.764€,,
,TDA 6 - F.T.H,,20-ene-99,351.500.000€,82.142.989€,,
,TDA 7 - F.T.H,,12-mar-99,1.051.700.000€,312.587.651€,,
TDA 8 - F.T.H,,,9-abr-99,150.200.000€,50.180.862€,,
,TDA 9 - F.T.H,,12-may-99,332.400.000€,98.783.626€,,
,TDA 10 - F.T.H,,21-jul-99,240.500.000€,59.833.732€,,
,TDA 11 - F.T.H,,24-ene-00,660.600.000€,216.273.160€,,
,TDA 12 - F.T.H,,26-jun-00,513.900.000€,185.721.848€,,
