Fondo,,,Fecha
Constitución,,Emitido,,Saldo Bonos,,
,Fondos de Titulización de Activos,,,,,,,30 de junio de 2006,
,TDA 13-MIXTO - F.T.A,,5-dic-00,,389.500.000€,,154.566.434€,,
,TDA 14-MIXTO - F.T.A,,20-jun-01,,601.100.000€,,268.991.074€,,
,TDA 15-MIXTO - F.T.A,,4-nov-02,,450.900.000€,,253.354.324€,,
,TDA 16-MIXTO - F.T.A,,26-may-03,,532.000.000€,,271.700.344€,,
,TDA 17-MIXTO - F.T.A,,24-oct-03,,455.000.000€,,279.828.490€,,
,TDA 18-MIXTO - F.T.A,,14-nov-03,,421.000.000€,,250.368.088€,,
,TDA 19-MIXTO - F.T.A,,27-feb-04,,600.000.000€,,384.293.535€,,
,TDA 20-MIXTO - F.T.A,,25-jun-04,,421.000.000€,,320.004.969€,,
,TDA 21-MIXTO - F.T.A,,23-jul-04,,775.000.000€,,552.087.118€,,
,TDA 22-MIXTO - F.T.A,,1-dic-04,,530.000.000€,,376.066.154€,,
,TDA 23 - F.T.A,,17-mar-05,,860.000.000€,,684.826.867€,,
,TDA 24- F.T.A,,28-nov-05,,485.000.000€,,445.390.271€,,
,TDA PASTOR 1 - F.T.A,,25-feb-03,,494.600.000€,,281.901.282€,,
,TDA CAM 1 - F.T.A,,13-mar-03,,1.000.000.000€,,590.929.362€,,
,TDA CAM 2 - F.T.A,,27-jun-03,,1.100.000.000€,,680.699.660€,,
,TDA CAM 3 - F.T.A,,16-ene-04,,1.200.000.000€,,809.229.588€,,
,TDA CAM 4 - F.T.A,,9-mar-05,,2.000.000.000€,,1.618.723.258€,,
,TDA CAM 5 - F.T.A,,5-oct-05,,2.000.000.000€,,1.859.767.422€,,
,TDA CAM 6, FTA,,29-mar-06,,1.300.000.000€,,,1.300.000.000€,
,TDA IBERCAJA 1 - F.T.A,,8-oct-03,,600.000.000€,,416.090.689€,,
,TDA IBERCAJA 2 - F.T.A,,13-oct-05,,904.500.000€,,845.853.703€,,
,TDA CAJAMAR 2 - F.T.A,,18-may-05,,1.000.000.000€,,866.425.338€,,
,TDA IBERCAJA 3 - F.T.A.,,12-may-06,,1.007.000.000€,,1.007.000.000€,,
,FTPYME TDA 3 - F.T.A,,14-feb-02,,225.055.000€,,50.442.781€,,
,FTPYME TDA 4 - F.T.A,,10-oct-03,,250.000.000€,,121.368.236€,,
,FTPYME TDA 5 - F.T.A,,29-dic-04,,200.000.000€,,128.367.197€,,
,FTPYME TDA 6 - F.T.A,,24-nov-05,,150.000.000€,,127.983.368€,,
,FTPYME TDA SABADELL 1 - F.T.A,,3-jun-02,,600.000.000€,,192.075.528€,,
,FTPYME TDA SABADELL 2 - F.T.A,,12-nov-03,,500.000.000€,,430.124.270€,,
,FTPYME TDA CAM 1 - F.T.A,,17-jun-02,,600.000.000€,,179.405.130€,,
,FTPYME TDA CAM 2 - F.T.A,,17-nov-04,,750.000.000€,,532.226.956€,,
,CIBELES III FTPYME - F.T.A,,18-dic-03,,500.000.000€,,408.156.735€,,
,FTPYME TDA BANCA MARCH - F.T.A,,25-oct-04,,200.000.000€,,132.501.170€,,
,CM BANCAJA 1 - F.T.A,,28-sep-05,,556.200.000€,,454.308.914€,,
,CÉDULAS TDA 1, F.T.A.,,12-jun-03,,1.750.000.000€,,1.750.000.000€,,
,CÉDULAS TDA 2, F.T.A.,,13-nov-03,,2.000.000.000€,,2.000.000.000€,,
,CÉDULAS TDA 3, F.T.A.,,25-feb-04,,2.000.000.000€,,2.000.000.000€,,
,CÉDULAS TDA 4, F.T.A.,,10-jun-04,,1.500.000.000€,,1.500.000.000€,,
,CÉDULAS TDA 5, F.T.A.,,24-nov-04,,1.500.000.000€,,1.500.000.000€,,
,CÉDULAS TDA 6, F.T.A.,,18-may-05,,3.000.000.000€,,3.000.000.000€,,
,CÉDULAS TDA 7, F.T.A.,,10-jun-05,,2.000.000.000€,,2.000.000.000€,,
,PROGRAMA CEDULAS TDA, FTA,,2-mar-06,,4.050.000.000€,,,4.050.000.000€,
TDA AUTO ABS 2002, F.T.A.,,,8-jul-02,,950.000.000€,,264.385.805€,,
,GLOBALDRIVE (SPAIN) 2002-1 TDA, F.T.A.,,3-dic-02,,488.000.000€,,337.575.520€,,
