,,,
,,,
BALANCE DEL FONDO (en su origen),,,
EUROS,,,
ACTIVO,,PASIVO,
,,,
Participaciones y Certificados *,450.000.000,Bonos A,414.000.000
,,Bonos B,11.700.000
,,Bonos C,9.000.000
,,Bonos D,7.200.000
,,Bonos E,8.100.000
,,Bonos F,1.350.000
,,,
,,Valores NAS-IO,3.300.000/3.600.000
,,,
Tesorería,,Préstamo Gastos Iniciales,610.000/910.000
Fondo de Reserva,4,500.000,,
Gastos Iniciales Activados,1.060.000,,
,,,
,,,
,,,
TOTAL ACTIVO,455.560.000,TOTAL PASIVO,455.560.000
,,,
,,Línea de Liquidez,4.500.000
