Fondo,Fecha
Constitución,Emitido,Saldo Bonos
31 de mayo de 2009
Fondos de Titulización Hipotecaria,,,
TDA 4 - F.T.H.,22-abr-98,150.253.027€,0,00€
TDA 6 - F.T.H.,20-ene-99,351.500.000€,38.740.201,88€
TDA 7 - F.T.H.,12-mar-99,1.051.700.000€,159.753.092,20€
TDA 8 - F.T.H.,9-abr-99,150.200.000€,29.327.562,88€
TDA 9 - F.T.H.,12-may-99,332.400.000€,54.407.851,00€
TDA 10 - F.T.H.,21-jul-99,240.500.000€,30.086.745,33€
TDA 11 - F.T.H.,24-ene-00,660.600.000€,120.242.372,80€
TDA 12 - F.T.H.,26-jun-00,513.900.000€,104.406.319,52€
Fondos de Titulización de Activos,,,
TDA 13-MIXTO - F.T.A.,5-dic-00,389.500.000€,92.759.511,23€
TDA 14-MIXTO - F.T.A.,20-jun-01,601.100.000€,171.957.332,02€
TDA 15-MIXTO - F.T.A.,4-nov-02,450.900.000€,172.882.408,38€
TDA 16-MIXTO - F.T.A.,26-may-03,532.000.000€,167.669.763,26€
TDA 17-MIXTO - F.T.A.,24-oct-03,455.000.000€,161.625.089,76€
TDA 18-MIXTO - F.T.A.,14-nov-03,421.000.000€,162.859.048,97€
TDA 19-MIXTO - F.T.A.,27-feb-04,600.000.000€,265.287.154,38€
TDA 20-MIXTO - F.T.A.,25-jun-04,421.000.000€,206.551.056,52€
TDA 21-MIXTO - F.T.A.,23-jul-04,775.000.000€,303.254.094,81€
TDA 22-MIXTO - F.T.A.,1-dic-04,530.000.000€,244.626.600,80€
TDA 23 - F.T.A.,17-mar-05,860.000.000€,458.679.640,56€
TDA 24- F.T.A.,28-nov-05,485.000.000€,306.790.329,32€
TDA 25- F.T.A.,29-jul-06,265.000.000€,187.647.112,79€
TDA 26-MIXTO - F.T.A.,5-jul-06,908.100.000€,603.364.939,11€
TDA 27- F.T.A.,20-dic-06,930.600.000€,707.634.372,57€
TDA 28- F.T.A.,18-jul-07,451.350.000€,392.853.290,40€
TDA 29- F.T.A.,25-jul-07,814.900.000€,673.723.282,36€
TDA 30- F.T.A.,12-mar-08,388.200.000€,357.969.105,54€
TDA 31- F.T.A.,19-nov-08,300.000.000€,284.879.002,35€
TDA PASTOR 1 - F.T.A.,25-feb-03,494.600.000€,171.806.940,22€
TDA CAM 1 - F.T.A.,13-mar-03,1.000.000.000€,390.903.051,10€
TDA CAM 2 - F.T.A.,27-jun-03,1.100.000.000€,423.252.549,20€
TDA CAM 3 - F.T.A.,16-ene-04,1.200.000.000€,496.163.612,16€
TDA CAM 4 - F.T.A.,9-mar-05,2.000.000.000€,1.090.327.008,00€
TDA CAM 5 - F.T.A.,5-oct-05,2.000.000.000€,1.301.449.066,40€
TDA CAM 6 - F.T.A.,29-mar-06,1.300.000.000€,904.480.526,30€
TDA CAM 7 - F.T.A.,13-oct-06,1.750.000.000€,1.319.596.677,75€
TDA CAM 8 - F.T.A.,7-mar-07,1.712.800.000€,1.344.848.900,90€
TDA CAM 9 - F.T.A.,3-jul-07,1.515.000.000€,1.259.056.322,60€
TDA CAM 10 - F.T.A.,5-dic-07,1.423.500.000€,1.261.472.906,16€
TDA CAM 11 - F.T.A.,12-nov-08,1.716.000.000€,1.684.922.424,36€
TDA CAM 12 - F.T.A.,6-feb-09,1.976.000.000€,1.976.000.000,00€
TDA IBERCAJA 1 - F.T.A.,8-oct-03,600.000.000€,270.235.059,84€
TDA IBERCAJA 2 - F.T.A.,13-oct-05,904.500.000€,581.366.051,91€
TDA IBERCAJA 3 - F.T.A.,12-may-06,1.007.000.000€,716.746.880,00€
TDA IBERCAJA 4 - F.T.A.,18-oct-06,1.410.500.000€,1.044.496.596,48€
TDA IBERCAJA 5 - F.T.A.,11-may-07,1.207.000.000€,981.613.058,20€
TDA IBERCAJA 6 - F.T.A.,20-jun-08,1.521.000.000€,1.423.935.360,00€
TDA CAJAMAR 2 - F.T.A.,18-may-05,1.000.000.000€,562.058.477,50€
TDA TARRAGONA 1, F.T.A.,30-nov-07,397.400.000€,363.762.618,53€
CAIXA PENEDES 1 TDA - F.T.A.,18-oct-06,1.000.000.000€,766.130.900,00€
CAIXA PENEDES 2 TDA - F.T.A.,26-sep-07,750.000.000€,646.401.584,82€
TDA UNICAJA 1 - F.T.A.,9-may-08,419.600.000€,393.049.316,12€
MADRID RMBS I - F.T.A.,15-nov-06,2.000.000.000€,1.457.979.002,00€
MADRID RMBS II - F.T.A.,12-dic-06,1.800.000.000€,1.307.702.289,60€
MADRID RMBS III - F.T.A.,11-jul-07,3.000.000.000€,2.399.771.149,80€
MADRID RMBS IV - F.T.A.,19-dic-07,2.400.000.000€,1.999.185.977,28€
TDA CREDIFIMO 1 - F.T.A.,1-ago-08,317.300.000€,290.992.606,85€
MADRID RESIDENCIAL I - F.T.A.,26-dic-08,607.700.000€,576.119.289,48€
MADRID ICO-FTVPO I - F.T.A.,19-dic-08,260.300.000€,247.139.127,88€
SOL-LION, F.T.A.,18-may-09,4.500.000.000€,4.500.000.000,00€
TDA PASTOR CONSUMO 1 - F.T.A.,26-abr-07,300.000.000€,220.263.024,50€
TDA CCM CONSUMO 1 - F.T.A.,28-may-08,375.000.000€,259.231.309,20€
MADRID CONSUMO I - F.T.A.,17-dic-08,1.239.700.000€,1.018.209.991,26€
CAMGE CONSUMO TDA CAM 1, F.T.A.,22-abr-09,830.000.000€,830.000.000,00€
FTPYME TDA 4 - F.T.A.,10-oct-03,250.000.000€,42.770.408,30€
FTPYME TDA 5 - F.T.A.,29-dic-04,200.000.000€,45.428.273,38€
FTPYME TDA 6 - F.T.A.,24-nov-05,150.000.000€,63.256.311,60€
FTPYME TDA 7 - F.T.A.,21-dic-07,290.400.000€,230.865.722,75€
FTPYME TDA SABADELL 1 - F.T.A.,3-jun-02,600.000.000€,78.670.377,15€
FTPYME TDA SABADELL 2 - F.T.A.,12-nov-03,500.000.000€,151.991.693,45€
FTPYME TDA CAM 1 - F.T.A.,17-jun-02,600.000.000€,68.556.780,96€
FTPYME TDA CAM 2 - F.T.A.,17-nov-04,750.000.000€,229.489.289,47€
FTPYME TDA CAM 4 - F.T.A.,13-dic-06,1.529.300.000€,847.549.643,60€
CIBELES III FTPYME - F.T.A.,18-dic-03,500.000.000€,145.312.172,80€
FTPYME TDA BANCA MARCH - F.T.A.,25-oct-04,200.000.000€,49.735.059,16€
CM BANCAJA 1 - F.T.A.,28-sep-05,556.200.000€,233.050.616,10€
EMPRESAS HIPOTECARIO TDA CAM 3 - F.T.A.,7-jul-06,750.000.000€,461.647.025,63€
EMPRESAS HIPOTECARIO TDA CAM 5 - F.T.A.,17-oct-07,1.430.800.000€,1.087.996.800,00€
EMPRESAS TDA CAM 6 - F.T.A.,26-mar-08,1.000.000.000€,700.237.264,50€
CAIXA PENEDES PYMES 1 - F.T.A.,22-jun-07,790.000.000€,584.742.085,60€
TDA EMPRESAS PASTOR 5 - F.T.A.,17-dic-07,568.700.000€,355.351.029,68€
MADRID EMPRESAS I - F.T.A.,22-dic-07,780.000.000€,518.124.260,16€
FTPYME TDA CAM 7 - F.T.A.,1-ago-08,1.000.000.000€,909.151.403,30€
CAIXA PENEDES FTGENCAT 1 TDA - F.T.A.,5-ago-08,570.000.000€,514.766.536,65€
TDA SA NOSTRA EMPRESAS 1 - F.T.A.,5-ago-08,250.000.000€,173.122.858,48€
TDA SA NOSTRA EMPRESAS 2 - F.T.A.,27-mar-09,355.000.000€,355.000.000,00€
TDA CCM EMPRESAS 1 - F.T.A.,19-dic-08,400.000.000€,363.254.464,00€
CÉDULAS TDA 1 - F.T.A.,12-jun-03,1.750.000.000€,1.750.000.000,00€
CÉDULAS TDA 2 - F.T.A.,13-nov-03,2.000.000.000€,2.000.000.000,00€
CÉDULAS TDA 3 - F.T.A.,25-feb-04,2.000.000.000€,2.000.000.000,00€
CÉDULAS TDA 4 - F.T.A.,10-jun-04,1.500.000.000€,1.500.000.000,00€
CÉDULAS TDA 5 - F.T.A.,24-nov-04,1.500.000.000€,1.500.000.000,00€
CÉDULAS TDA 6 - F.T.A.,18-may-05,3.000.000.000€,3.000.000.000,00€
CÉDULAS TDA 7 - F.T.A.,10-jun-05,2.000.000.000€,2.000.000.000,00€
CÉDULAS TDA 9 - F.T.A.,28-nov-07,4.000.000.000€,3.150.000.000,00€
CÉDULAS TDA 10 - F.T.A.,5-mar-08,4.750.000.000€,4.750.000.000,00€
CÉDULAS TDA 11 - F.T.A.,27-mar-08,5.000.000.000€,5.000.000.000,00€
CÉDULAS TDA 12 - F.T.A.,25-jun-08,2.200.000.000€,2.150.000.160,00€
CÉDULAS TDA 13 - F.T.A.,3-dic-08,2.260.000.000€,2.140.000.328,00€
CÉDULAS TDA 14 - F.T.A.,20-abr-09,2.200.000.000€,2.200.000.000,00€
CÉDULAS TDA 15 - F.T.A.,28-may-09,2.190.000.000€,2.190.000.000,00€
PROGRAMA CEDULAS TDA - F.T.A.,2-mar-06,Máximo 30.000.000.000€,10.160.000.000,00€
