Gastos de constitución del Fondo y emisión de los Bonos,,,Euros,,
,,,,,
,Registro del Folleto Informativo en la CNMV,,,41.422,13,
Supervisión del proceso de admisión a cotización por la CNMV,,,9.550,87,,
Tarifa de admisión a cotización en AIAF Mercado de Renta Fija,,,25.937,60,,
Inclusión de la emisión en el registro de anotaciones en cuenta,
IBERCLEAR,,,1.160,00,,
,Subtotal (gastos de admisión a cotización),,,78.070,60,
Aranceles notariales, honorarios de auditoría, calificación, aseso-
ramiento legal y otros.,,,363.429,40,,
Comisión Aval ICO,,,1.228.500,00,,
Total gastos,,,1.670.000,00,,
