,Fecha,Emisión Bonos,Emisión Bonos
Fondo de Titulización,,,
,Constitución,Inicial,Saldo 30/09/2005
,,,
CÉDULAS TDA 2, FONDO DE TITULIZACIÓN DE,13-nov-03,2.000.000.000€,2.000.000.000€
ACTIVOS,,,
CÉDULAS TDA 3, FONDO DE TITULIZACIÓN DE,25-feb-04,2.000.000.000€,2.000.000.000€
ACTIVOS,,,
CÉDULAS TDA 4, FONDO DE TITULIZACIÓN DE,10-jun-04,1.500.000.000€,1.500.000.000€
ACTIVOS,,,
CÉDULAS TDA 5, FONDO DE TITULIZACIÓN DE,24-nov-04,1.500.000.000€,1.500.000.000€
ACTIVOS,,,
CÉDULAS TDA 6, FONDO DE TITULIZACIÓN DE,18-may-05,3.000.000.000€,1.500.000.000€
ACTIVOS,,,
CÉDULAS TDA 7, FONDO DE TITULIZACIÓN DE,10-jun-05,2.000.000.000€,2.000.000.000€
ACTIVOS,,,
,,,
FONDO DE TITULIZACION DE ACTIVOS RESULTANTES,25-abr-96,4.297.236.546€,1.005.973.597€
DE LA MORATORIA NUCLEAR,,,
CAJA SAN FERNANDO CDO I, FONDO DE
TITULIZACIÓN DE ACTIVOS,17-feb-05,180.150.000$ +
128.200.000€,172.301.891,2$
124.495.424€
,,,
,,,
,,,
,,180.150.000$ +,172.301.891,2$+
TOTAL,,50.032.022.127€,34.417.380.496€
