,FECHAS,,,EURIBOR 3 meses,,,Serie A1,,,Serie A2,,Serie B,,,Serie C,Serie D
17/11/2005 2,350% 2,448% 2,493% 2,648% 2,923% 4,573%
16/11/2005 2,350% 2,448% 2,493% 2,648% 2,923% 4,573%
15/11/2005 2,350% 2,448% 2,493% 2,648% 2,923% 4,573%
14/11/2005 2,323% 2,448% 2,493% 2,648% 2,923% 4,573%
11/11/2005 2,321% 2,446% 2,491% 2,646% 2,921% 4,571%
10/11/2005 2,324% 2,449% 2,494% 2,649% 2,924% 4,574%
09/11/2005 2,305% 2,430% 2,475% 2,630% 2,905% 4,555%
08/11/2005 2,297% 2,422% 2,467% 2,622% 2,897% 4,547%
07/11/2005 2,274% 2,399% 2,444% 2,599% 2,874% 4,524%
04/11/2005 2,265% 2,390% 2,435% 2,590% 2,865% 4,515%
03/11/2005 2,273% 2,398% 2,443% 2,598% 2,873% 4,523%
02/11/2005 2,264% 2,389% 2,434% 2,589% 2,864% 4,514%
01/11/2005 2,264% 2,389% 2,434% 2,589% 2,864% 4,514%
31/10/2005 2,263% 2,388% 2,433% 2,588% 2,863% 4,513%
28/10/2005 2,254% 2,379% 2,424% 2,579% 2,854% 4,504%
27/10/2005 2,505% 2,630% 2,675% 2,830% 3,105% 4,755%
25/10/2005 2,186% 2,311% 2,356% 2,511% 2,786% 4,436%
24/10/2005 2,185% 2,310% 2,355% 2,510% 2,785% 4,435%
21/10/2005 2,186% 2,311% 2,356% 2,511% 2,786% 4,436%
20/10/2005 2,187% 2,312% 2,357% 2,512% 2,787% 4,437%
19/10/2005 2,188% 2,313% 2,358% 2,513% 2,788% 4,438%
18/10/2005 2,188% 2,313% 2,358% 2,513% 2,788% 4,438%
17/10/2005 2,187% 2,312% 2,357% 2,512% 2,787% 4,437%,,,,,,,,,,,,,,,,
