Data of 25/10/2005,,,
,,,
,AUDITED PORTFOLIO, TDA 24 ISSUE
(Grouped by location property),,
,,,
,WEIGHTED WEIGHTED Min. Max.
WEIGHTED
TOTAL CURRENT CURRENT AVERAGE AVERAGE CURRENT CURRENT
PROPERTY PROVINCE NUM AVERAGE INITIAL
BALANCE EUROS BALANCE % REMAINING TERM CURRENT INTEREST INTEREST
TERM (months)
(months) INTEREST RATE RATE RATE,,
,ALAVA 2 45.943,92 0,01 245 176 3,22 3,22 3,23
ALBACETE 859 56.247.046,51 10,69 281 250 3,36 2,60 4,50
ALICANTE 74 5.410.173,66 1,03 256 224 3,41 2,94 4,25
ALMERIA 41 3.771.948,91 0,72 353 339 3,97 3,25 5,95
ASTURIAS 1 165.326,31 0,03 361 350 3,25 3,25 3,25
AVILA 14 668.184,80 0,13 268 238 3,46 2,95 4,00
BADAJOZ 107 8.287.968,52 1,58 353 342 3,88 3,00 5,95
BALEARES 7 594.963,97 0,11 305 266 3,16 2,94 4,00
BARCELONA 320 25.411.578,60 4,83 295 251 3,24 2,64 5,95
BURGOS 1 47.937,00 0,01 181 127 3,22 3,22 3,22
CACERES 11 713.176,38 0,14 354 338 4,00 3,95 5,95
CADIZ 186 15.434.893,87 2,93 358 346 3,90 2,90 5,95
CASTELLON 29 1.749.461,97 0,33 251 223 3,00 2,79 3,42
CIUDAD REAL 713 46.396.236,63 8,82 288 258 3,44 2,60 5,50
CORDOBA 34 2.447.175,13 0,47 348 335 3,98 3,00 5,95
CUENCA 295 18.595.617,84 3,53 275 244 3,43 2,60 6,10
GERONA 51 3.743.767,04 0,71 288 246 3,16 2,79 5,95
GRANADA 51 3.464.513,09 0,66 349 332 4,03 3,14 5,95
GUADALAJARA 137 12.317.832,75 2,34 306 278 3,32 2,60 5,95
HUELVA 32 2.386.528,48 0,45 321 302 3,77 2,94 5,95
HUESCA 3 191.823,93 0,04 265 237 3,01 2,92 3,17
JAEN 6 308.864,70 0,06 306 286 3,84 3,25 5,95
LA CORUÑA 6 407.275,57 0,08 303 260 2,96 2,94 3,03
LAS PALMAS 110 11.671.031,80 2,22 354 343 3,92 3,25 5,95
LEON 3 180.890,73 0,03 241 213 3,92 3,42 4,00
LERIDA 27 1.263.334,14 0,24 232 172 3,20 2,97 3,57
LOGROÑO 10 637.666,65 0,12 230 187 3,02 2,92 3,23
MADRID 1.162 111.436.265,87 21,18 321 298 3,72 2,67 6,00
MALAGA 182 16.349.575,46 3,11 352 339 3,97 2,44 6,00
MURCIA 58 3.777.083,50 0,72 284 252 3,80 2,97 5,95
PONTEVEDRA 1 38.669,41 0,01 145 106 2,94 2,94 2,94
S. C. DE TENERIFE 34 2.781.653,77 0,53 360 350 4,00 3,50 5,95
SEGOVIA 12 672.261,50 0,13 264 241 3,31 2,92 5,95
SEVILLA 269 19.027.309,89 3,62 353 339 3,94 2,90 5,95
TARRAGONA 44 2.877.483,73 0,55 261 218 3,06 2,82 5,95
TOLEDO 1.794 130.347.052,92 24,78 304 273 3,51 2,60 5,95
VALENCIA 201 13.669.433,63 2,60 273 239 3,33 2,48 5,95
VALLADOLID 1 71.677,08 0,01 181 146 2,94 2,94 2,94
VIZCAYA 1 96.436,11 0,02 361 326 2,94 2,94 2,94
ZARAGOZA 36 2.402.007,86 0,46 283 241 3,36 2,88 6,00,,
,TOTAL 6.925 526.108.073,63 100,00 308 281 3,57 2,443 6,10,,
,,,
