FECHAS,EURIBOR 3m,Serie 1-A1,Serie 1-A2,Serie 1-B,Serie 1-C,Serie 1-D
23-jun-2006 2,997% 3,047% 3,147% 3,247% 3,447% 6,497%
22-jun-2006 2,993% 3,043% 3,143% 3,243% 3,443% 6,493%
21-jun-2006 2,985% 3,035% 3,135% 3,235% 3,435% 6,485%
20-jun-2006 2,976% 3,026% 3,126% 3,226% 3,426% 6,476%
19-jun-2006 2,973% 3,023% 3,123% 3,223% 3,423% 6,473%
16-jun-2006 2,966% 3,016% 3,116% 3,216% 3,416% 6,466%
15-jun-2006 2,963% 3,013% 3,113% 3,213% 3,413% 6,463%
14-jun-2006 2,961% 3,011% 3,111% 3,211% 3,411% 6,461%
13-jun-2006 2,959% 3,009% 3,109% 3,209% 3,409% 6,459%
12-jun-2006 2,953% 3,003% 3,103% 3,203% 3,403% 6,453%
9-jun-2006 2,953% 3,003% 3,103% 3,203% 3,403% 6,453%
8-jun-2006 2,990% 3,040% 3,140% 3,240% 3,440% 6,490%
7-jun-2006 2,974% 3,024% 3,124% 3,224% 3,424% 6,474%
6-jun-2006 2,969% 3,019% 3,119% 3,219% 3,419% 6,469%
5-jun-2006 2,957% 3,007% 3,107% 3,207% 3,407% 6,457%
2-jun-2006 2,950% 3,000% 3,100% 3,200% 3,400% 6,450%
1-jun-2006 2,944% 2,994% 3,094% 3,194% 3,394% 6,444%,,,,,,
