FECHAS,EURIBOR 3m,Serie 2-A,Serie 2-B,Serie 2-C
19-jun-2006 2,973% 3,143% 3,243% 5,473%
16-jun-2006 2,966% 3,136% 3,236% 5,466%
15-jun-2006 2,963% 3,133% 3,233% 5,463%
14-jun-2006 2,961% 3,131% 3,231% 5,461%
13-jun-2006 2,959% 3,129% 3,229% 5,459%
12-jun-2006 2,953% 3,123% 3,223% 5,453%
9-jun-2006 2,953% 3,123% 3,223% 5,453%
8-jun-2006 2,990% 3,160% 3,260% 5,490%
7-jun-2006 2,974% 3,144% 3,244% 5,474%
6-jun-2006 2,969% 3,139% 3,239% 5,469%
5-jun-2006 2,957% 3,127% 3,227% 5,457%
2-jun-2006 2,950% 3,120% 3,220% 5,450%
1-jun-2006 2,944% 3,114% 3,214% 5,444%,,,,
