,con datos a 01/06/2006,
,,
,CARTERA PARTICIPACIONES HIPOTECARIAS TDA 26-MIXTO, F.T.A.
(División por Tipo de Interés Actual)
Grupo 1,
,,
,VENCIMIENTO VENCIMIENTO
INICIAL RESIDUAL TIPO ACTUAL
TIPO DE INTERÉS SALDO ACTUAL SALDO Min. TIPO Máx. TIPO
NUM PONDERADO PONDERADO PONDERADO POR SALDO
ACTUAL EUROS ACTUAL % ACTUAL ACTUAL
POR SALDO POR SALDO ACTUAL
INICIAL (meses) ACTUAL (meses),
,2,00 - 2,50 1 2 1 .420.842,92 0,16 314 302 2,370 2,149 2,470
2,50 - 3,00 1 .136 1 54.287.232,94 17,1 305 290 2,810 2,500 2,985
3,00 - 3,50 2 .507 3 29.433.198,26 36,51 303 285 3,180 3,000 3,484
3,50 - 4,00 1 .951 2 39.297.986,12 26,52 296 277 3,670 3,500 3,992
4,00 - 4,50 1 .805 1 72.004.951,55 19,06 261 228 4,080 4,000 4,483
4,50 - 5,00 6 9 5 .241.027,45 0,58 218 184 4,630 4,500 4,955
5,00 - 5,50 3 1 45.739,76 0,02 222 195 5,190 5,000 5,400
5,50 - 6,00 1 1 64.014,37 0,02 360 345 5,860 5,855 5,855
6,00 - 6,50 2 1 92.925,27 0,02 241 188 6,000 6,000 6,000
6,50 - 7,00 3 1 83.688,74 0,02 243 184 6,500 6,500 6,500,
,TOTALES 7.489 902.371.607,38 100 293 273 3,430 2,149 6,500,
85,,
