EMISIÓN TDA 27, FTA
(División por Saldo Actual)

VENCIMIENTO VENCIMIENTO
TIPO ACTUAL
INICIAL RESIDUAL
SALDO ACTUAL SALDO PONDERADO SALDO ACTUAL Min. TIPO Máx. TIPO
SALDO ACTUAL EUROS NUM PONDERADO PONDERADO
EUROS ACTUAL % POR SALDO MEDIO ACTUAL ACTUAL
POR SALDO POR SALDO
ACTUAL
INICIAL (meses) ACTUAL (meses)
0,00 - 50.000,00 3354 97.509.575,69 9,32 280 242 4,640 35.416,07 2,750 6,615
50.000,00 - 100.000,00 3194 231.159.616,65 22,10 306 271 4,060 75.332,35 2,500 6,308
100.000,00 - 150.000,00 2474 304.713.555,61 29,13 350 328 4,100 124.792,30 2,650 5,539
150.000,00 - 200.000,00 1321 227.099.915,19 21,71 367 349 4,160 173.027,46 2,700 5,500
200.000,00 - 250.000,00 493 109.551.542,71 10,47 371 354 4,100 223.162,55 2,750 5,615
250.000,00 - 300.000,00 156 42.779.141,71 4,09 369 353 4,020 274.957,91 2,750 5,000
300.000,00 - 350.000,00 51 16.509.948,89 1,58 384 367 3,910 324.542,78 2,700 4,965
350.000,00 - 400.000,00 34 12.670.488,65 1,21 338 322 3,950 373.343,97 2,820 4,650
400.000,00 - 450.000,00 6 2.477.792,18 0,24 405 395 3,980 413.764,89 2,850 4,715
450.000,00 - 500.000,00 3 1.473.440,30 0,14 319 305 3,950 491.333,41 3,602 4,221
TOTALES 11.086 1 .045.945.017,58 100 341 316 4,150 139.812,04 2,500 6,615
84
