EMISIÓN TDA 27, FTA
(División por Vencimiento Residual)

VENCIMIENTO
VENCIMIENTO VENCIMIENTO INICIAL RESIDUAL TIPO ACTUAL
SALDO ACTUAL SALDO Máx. TIPO
RESIDUAL NUM PONDERADO POR PONDERADO POR PONDERADO POR Min. TIPO ACTUAL
EUROS ACTUAL % ACTUAL
MESES SALDO INICIAL (meses) SALDO ACTUAL SALDO ACTUAL
(meses)
0,00 - 12,00 12 - 0,00 18 0 4,370 3,750 4,665
24,00 - 36,00 11 3 06.884,66 0,03 61 30 4,090 3,000 4,865
36,00 - 48,00 10 2 07.479,20 0,02 102 43 4,130 3,721 5,950
48,00 - 60,00 26 8 04.484,87 0,08 104 54 4,100 3,250 5,950
60,00 - 72,00 61 1 .815.577,71 0,17 130 65 4,090 2,750 6,000
72,00 - 84,00 83 3 .280.124,02 0,31 134 78 4,050 3,250 6,000
84,00 - 96,00 130 5 .673.941,45 0,54 136 89 3,950 2,750 6,039
96,00 - 108,00 121 5 .103.404,73 0,49 144 102 4,050 3,164 6,215
108,00 - 120,00 165 7 .985.570,46 0,76 154 113 4,030 2,750 6,215
120,00 - 132,00 161 7 .345.566,82 0,70 176 125 4,040 3,000 5,500
132,00 - 144,00 180 9 .479.589,83 0,91 182 137 3,990 2,950 5,965
144,00 - 156,00 258 1 4.106.924,22 1,35 194 149 3,980 2,900 5,950
156,00 - 168,00 243 1 4.902.596,04 1,42 199 163 4,140 3,164 6,215
168,00 - 180,00 276 1 8.715.016,74 1,79 206 173 3,980 2,750 6,215
180,00 - 192,00 236 1 2.412.720,17 1,19 234 186 4,070 2,950 6,115
192,00 - 204,00 299 1 9.419.916,22 1,86 240 198 3,990 2,720 5,950
204,00 - 216,00 375 2 6.673.638,71 2,55 247 210 4,010 2,500 6,308
216,00 - 228,00 354 2 8.532.437,21 2,73 250 222 4,090 2,750 6,215
228,00 - 240,00 281 2 6.193.081,66 2,50 252 232 3,900 2,650 5,965
240,00 - 252,00 160 1 2.046.891,94 1,15 293 247 4,090 2,750 5,000
252,00 - 264,00 350 2 8.689.826,60 2,74 304 257 4,010 3,000 5,058
264,00 - 276,00 466 4 0.047.433,86 3,83 306 269 3,990 2,700 6,365
276,00 - 288,00 431 4 3.287.517,03 4,14 307 282 4,010 2,820 6,465
288,00 - 300,00 363 3 9.680.665,13 3,79 312 291 3,740 2,700 5,950
300,00 - 312,00 132 1 1.575.559,25 1,11 347 306 4,060 3,000 5,000
312,00 - 324,00 437 4 5.533.522,43 4,35 358 319 4,000 3,000 5,500
324,00 - 336,00 891 9 7.162.901,73 9,29 360 330 4,110 2,720 6,215
336,00 - 348,00 1.595 152.747.497,73 14,60 361 342 4,290 2,700 6,215
348,00 - 360,00 1.563 162.985.808,49 15,58 363 351 4,290 2,700 6,615
360,00 - 372,00 27 4 .087.282,67 0,39 387 367 4,340 3,014 4,889
372,00 - 384,00 376 5 5.202.221,85 5,28 385 375 4,540 3,064 5,308
384,00 - 396,00 37 5 .076.139,92 0,49 417 389 3,970 3,164 5,500
396,00 - 408,00 53 8 .297.849,42 0,79 419 402 4,180 3,214 4,765
408,00 - 420,00 123 1 5.028.790,72 1,44 422 413 4,460 3,250 5,965
420,00 - 432,00 14 1 .974.895,07 0,19 450 427 3,890 3,150 4,315
432,00 - 444,00 56 7 .096.483,68 0,68 474 440 4,090 3,000 4,865
444,00 - 456,00 214 2 9.546.202,42 2,82 474 450 4,100 3,164 5,065
456,00 - 468,00 234 3 5.540.848,58 3,40 480 462 4,170 3,164 4,765
468,00 - 480,00 280 4 6.889.724,34 4,48 480 473 4,140 3,000 4,965
480,00 - 492,00 2 4 88.000,00 0,05 494 487 4,220 4,001 4,365
TOTALES 11.086 1.045.945.017,58 100 341 316 4,150 2,500 6,615
87
