Elaborado con datos a 07/06/2007,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA CAM 9
(División por Vencimiento Residual)
,
,VENCIMIENTO
VENCIMIENTO VENCIMIENTO INICIAL RESIDUAL TIPO ACTUAL
SALDO ACTUAL SALDO Min. TIPO Máx. TIPO
RESIDUAL NUM PONDERADO POR PONDERADO POR PONDERADO POR
EUROS ACTUAL % ACTUAL ACTUAL
MESES SALDO INICIAL (meses) SALDO ACTUAL SALDO ACTUAL
(meses)
,0,00 - 12,00 5 613.357,85 0,03 20 7 4,910 4,465 5,094
12,00 - 24,00 9 1.024.640,32 0,05 31 16 4,970 4,458 5,265
24,00 - 36,00 4 742.200,00 0,03 42 25 4,900 4,615 5,503
36,00 - 48,00 4 150.717,65 0,01 113 42 4,780 4,500 5,000
48,00 - 60,00 10 928.998,19 0,04 80 53 4,720 4,500 5,187
60,00 - 72,00 16 726.426,35 0,03 94 66 4,780 3,750 5,098
72,00 - 84,00 28 2.317.263,54 0,10 104 77 4,470 3,000 5,401
84,00 - 96,00 42 2.176.243,10 0,10 129 90 4,810 3,400 6,064
96,00 - 108,00 127 7.897.918,72 0,36 123 104 4,800 4,121 6,001
108,00 - 120,00 161 11.461.334,45 0,52 131 112 4,860 3,400 5,701
120,00 - 132,00 96 6.547.133,05 0,29 161 127 4,790 2,659 5,765
132,00 - 144,00 111 7.618.862,68 0,34 163 137 4,770 3,039 5,920
144,00 - 156,00 112 8.715.107,07 0,39 183 150 4,860 4,000 6,070
156,00 - 168,00 359 29.437.847,64 1,32 185 164 4,790 3,950 5,606
168,00 - 180,00 471 36.825.288,65 1,66 186 172 4,910 3,400 5,837
180,00 - 192,00 150 13.433.398,45 0,60 213 186 4,830 4,051 5,750
192,00 - 204,00 126 12.731.848,90 0,57 230 197 4,830 3,770 6,201
204,00 - 216,00 221 24.626.898,07 1,11 241 210 4,800 3,000 5,664
216,00 - 228,00 636 65.775.600,14 2,96 243 223 4,750 3,721 5,765
228,00 - 240,00 662 74.127.252,73 3,34 243 231 4,840 3,000 6,170
240,00 - 252,00 159 16.817.237,95 0,76 273 246 4,860 4,058 5,594
252,00 - 264,00 233 24.347.660,90 1,10 289 258 4,850 3,938 5,750
264,00 - 276,00 313 33.749.675,18 1,52 300 270 4,820 3,750 6,001
276,00 - 288,00 905 111.837.142,98 5,03 302 283 4,780 3,250 6,160
288,00 - 300,00 834 98.428.098,23 4,43 302 291 4,890 3,000 6,414
300,00 - 312,00 156 18.364.348,55 0,83 339 306 4,820 4,000 5,750
312,00 - 324,00 316 42.156.677,81 1,90 348 318 4,730 3,721 5,606
324,00 - 336,00 661 87.467.397,11 3,94 357 330 4,780 3,750 5,921
336,00 - 348,00 1.990 275.137.586,56 12,38 361 343 4,740 3,400 6,087
348,00 - 360,00 1.563 215.832.779,16 9,71 361 351 4,850 3,033 6,060
360,00 - 372,00 70 7.781.830,82 0,35 381 366 4,870 4,088 5,820
372,00 - 384,00 58 7.528.839,26 0,34 391 378 4,990 4,215 5,614
384,00 - 396,00 253 35.635.608,30 1,60 415 392 4,900 4,058 6,060
396,00 - 408,00 2.505 400.531.219,84 18,02 420 404 4,780 3,000 6,001
408,00 - 420,00 2.664 422.267.005,45 19,00 420 411 4,920 3,250 6,101
420,00 - 432,00 3 604.471,87 0,03 431 422 4,660 4,464 4,956
432,00 - 444,00 8 1.277.375,78 0,06 447 438 4,930 4,471 5,356
444,00 - 456,00 3 556.745,09 0,03 456 450 4,840 4,350 5,253
456,00 - 468,00 11 1.745.173,31 0,08 478 465 4,730 4,415 5,351
468,00 - 480,00 666 112.192.630,03 5,05 480 474 5,020 3,800 6,020
,TOTALES 1 6.722 2.222.137.841,73 100 361 345 4,830 2,659 6,414
71,
