,Bono A,,Bono B,,Bono C,,Bono D,
Entidad,,,,,,,,
,Nº,Importe,Nº,Importe,Nº,Importe,Nº,Importe
,,,,,,,,
,5.028,502.800.000,00,192,19.200.000,00,40,4.000.000,00,50,5.000.000,00
Bear Stearns International Ltd,,,,,,,,
,45,4.500.000,00,-,-,20,2.000.000,00,25,2.500.000,00
Caixa Tarragona,,,,,,,,
,250,25.000.000,00,-,-,-,-,-,-
EBN Banco,,,,,,,,
,100,10.000.000,00,-,,-,,-,
Santander Central Hispano,,,,,,,,
,100,10.000.000,00,-,-,-,-,-,-
Dexia Bank,,,,,,,,
,150,15.000.000,00,-,-,-,-,-,-
DZ Bank,,,,,,,,
,,,,,,,,
TOTAL,5.673,567.300.000,00,192,19.200.000,00,60,6.000.000,00,75,7.500.000,00
