,,,,,,,,,,,,,,1.998,1.999,2.000,2.001,2.002,2003
Total activo,,,,,,,,,,,,,,3.245.701,3.529.268,5.056.784,6.335.656,7.518.779,-
Crédito sobre clientes,,,,,,,,,,,,,,2.282.085,2.715.714,4.083.432,5.152.089,6.428.751,-
Crédito con garantía rea,,,,l,,,,,,,,,,1.172.286,1.406.099,2.202.988,2.911.485,3.943.492,-
Crédito hipotecario,,,,,,,,,,,,,,1.158.884,1.393.066,2.180.518,2.865.786,3.870.361,-
Crédito hipotecario vivienda,,,,,,,,,,,,,,,511.701,857.307,1.116.373,1.546.142,1.908.365
Número de préstamos hipotecario vivienda,,,,,,,,,,,,,,,14.901,22.144,26.053,29.384,31.261
Crédito hipotecario vivienda libre (V.L.,,,,,,,,,,),,,,,376.530,717.510,980.215,1.419.191,1.724.135
Número de préstamos (V.L.),,,,,,,,,,,,,,,10.351,17.388,21.360,24.902,26.287
Número de préstamos a tipo variable (V.L.),,,,,,,,,,,,,,,9.865,16.648,20.703,24.350,25.810
Principal residual a tipo variable (V.L.),,,,,,,,,,,,,,,363.490,696.503,961.233,1.404.521,1.711.431
Número de préstamos impagados < 90 días (no incluidos en,,,,,,,,,,,,,,,555,1.662,2.002,2.091,1.960
DDC) (V.L.),,,,,,,,,,,,,,,,,,,
Importe préstamos impagados < 90 días (no incluidos en,,,,,,,,,,,,,,,18.510,79.439,94.390,116.950,123.141
DDC) (V.L.),,,,,,,,,,,,,,,,,,,
Núm. ptmos. Deudores Dudoso Cobro * (V.L.),,,,,,,,,,,,,,,153,182,190,203,187
Importe ptmos. D.D.C. (V.L.),,,,,,,,,,,,,,,5.325,6.400,7.165,9.233,9.069
Provisiones en el ejercicio (V.L.),,,,,,,,,,,,,,,549,1.105,850,1.158,1.822
Recuperaciones en el ejercicio,,,,,,,,,,,,,,,,192,902,608,702
Paso a cuentas suspensivas,,,,,,,,,,,,,,,28,60,39,14,22
Importe de amort. anticipadas(V.L.),,,,,,,,,,,,,,,,38.641,71.898,99.261,164.100
