,,,,,,,,,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,
Total activo,,,,,,,,,,2.678.975,,,2.660.842,,,2.818.055,,,3.069.706,,,3.349.848,,,3.702.501,,,4.117.302,,
Crédito sobre clientes,,,,,,,,,,1.363.287,,,1.659.605,,,1.965.118,,,2.040.312,,,2.293.825,,,2.574.071,,,2.989.677,,
Crédito con garantía real,,,,,,,,,,1.000.270,,,1.341.597,,,1.331.599,,,1.375.976,,,1.628.269,,,1.862.040,,,2.233.054,,
Crédito hipotecario,,,,,,,,,,987.528,,,1.332.918,,,1.332.923,,,1.368.659,,,1.618.031,,,1.850.077,,,2.213.107,,
Crédito hipotecario vivienda,,,,,,,,,,677.046,,,879.533,,,1.172.977,,,1.347.893,,,1.506.495,,,1.659.910,,,1.766.928,,
Número de préstamos hipotecario vivienda,,,,,,,,,,21.724,,,22.453,,,26.456,,,29.831,,,31.861,,,33.372,,,34.077,,
Crédito hipotecario vivienda libre (V.L.),,,,,,,,,,511.137,,,705.444,,,990.498,,,1.181.405,,,1.330.963,,,1.492.745,,,1.610.949,,
Número de préstamos (V.L.),,,,,,,,,,13.259,,,17.139,,,21.292,,,24.665,,,26.663,,,28.365,,,29.299,,
Número de préstamos a tipo variable (V.L.),,,,,,,,,,12.588,,,16.029,,,20.202,,,23.893,,,26.009,,,27.751,,,28.684,,
Principal residual a tipo variable (V.L.),,,,,,,,,,493.918,,,664.846,,,949.022,,,1.166.703,,,1.316.318,,,1.478.503,,,1.596129,,
Número de préstamos impagados < 90 días (no,,,,,,,,,,,,,351,,,510,,,759,,,921,,,906,,,979,,
incluidos en DDC) (V.L.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Importe préstamos impagados < 90 días (no,,,,,,,,,,,,,16.637,,,28.657,,,43.561,,,54.824,,,58.317,,,65.087,,
incluidos en DDC) (V.L.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Núm. ptmos. Deudores Dudoso Cobro (V.L.,,,,,,,,),,380,,,361,,,265,,,666,,,721,,,667,,,394,,
Importe ptmos. D.D.C. (V.L.),,,,,,,,,,7.921,,,7.591,,,5.722,,,20.682,,,22.210,,,25.359,,,23.155,,
