,,
,,
,PRELIMINARY LOAN SELECTION, TDA 19-MIXTO ISSUE
(Grouped by Remaining Term),
,,
,WEIGHTED WEIGHTED Max
WEIGHTED AVERAGE AVERAGE Min CURRENT CURRENT
REMAINING TOTAL CURRENT CURRENT AVERAGE INITIAL REMAINING TERM CURRENT INTEREST INTEREST
TERM NUMBER BALANCE EUROS BALANCE % TERM (months) (months) INTEREST RATE RATE RATE,
,30,00 - 45,00 2 53.821,80 0,01 84 43 4,25 4,25 4,25
45,00 - 60,00 37 1.203.045,90 0,20 71 54 3,57 2,51 5,00
60,00 - 75,00 29 1.121.763,81 0,19 90 68 3,79 2,51 4,75
75,00 - 90,00 57 2.120.040,76 0,35 112 82 3,84 2,51 5,00
90,00 - 105,00 74 3.186.574,63 0,53 120 97 3,55 2,58 5,00
105,00 - 120,00 269 12.011.693,90 2,00 130 114 3,54 2,51 5,50
120,00 - 135,00 96 4.118.004,17 0,69 165 128 4,02 2,75 5,25
135,00 - 150,00 223 10.681.887,51 1,78 165 141 3,79 2,51 6,00
150,00 - 165,00 145 8.420.859,63 1,40 180 158 3,66 2,51 5,25
165,00 - 180,00 695 42.081.554,33 7,01 189 174 3,52 2,51 6,00
180,00 - 195,00 220 13.154.963,62 2,19 232 188 4,03 2,51 5,75
195,00 - 210,00 271 17.709.939,02 2,95 236 201 3,97 2,51 6,50
210,00 - 225,00 256 17.846.337,86 2,97 237 218 3,59 2,51 5,50
225,00 - 240,00 1.093 81.788.100,49 13,63 243 233 3,38 2,51 6,50
240,00 - 255,00 110 7.669.861,13 1,28 292 247 3,94 2,58 5,25
255,00 - 270,00 225 18.294.601,25 3,05 295 261 3,93 2,51 5,25
270,00 - 285,00 332 27.382.074,15 4,56 298 279 3,51 2,51 6,00
285,00 - 300,00 1.137 99.913.981,90 16,65 303 294 3,32 2,51 5,25
300,00 - 315,00 225 18.082.081,28 3,01 357 309 4,30 2,51 5,25
315,00 - 330,00 374 34.637.451,61 5,77 356 321 4,08 2,51 5,25
330,00 - 345,00 536 58.641.738,38 9,77 359 338 3,90 2,51 5,25
345,00 - 360,00 1.120 119.879.622,83 19,98 360 354 3,10 2,51 7,25,
,TOTAL 7.526 599.999.999,96 100,00 291 274 3,53 2,51 7,25,
62,,
