,,1/01/2004,,
,,,,
,PRELIMINARY LOAN SELECTION, TDA 19-MIXTO ISSUE
(Grouped by loan to value),,,
,,,,
,WEIGHTED
WEIGHTED AVERAGE Min Max
LOAN TO WEIGHTED AVERAGE CURRENT WEIGHTED CURRENT CURRENT
VALUE TOTAL CURRENT CURRENT AVERAGE INITIAL REMAINING INTEREST AVERAGE LOAN INTEREST INTEREST
RATIO NUMBER BALANCE EUROS BALANCE% TERM (months) TERM (months) RATE TO VALUE RATIO RATE RATE,,,
,0,00 - 5,00 2 53.604,82,,0,01,66 61 4,21 4,40 3,55 4,25
5,00 - 10,00 20 1.003.812,33 0,17 271 262 3,47 7,33 2,58 5,00
10,00 - 15,00 41 1.262.063,96 0,21 187 172 3,56 12,91 2,51 5,00
15,00 - 20,00 91 3.473.769,79 0,58 192 178 3,38 17,97 2,51 5,00
20,00 - 25,00 122 4.884.635,97 0,81 189 173 3,48 22,63 2,51 6,50
25,00 - 30,00 181 7.778.431,57 1,30 196 180 3,50 27,68 2,51 5,50
30,00 - 35,00 240 12.118.699,84 2,02 222 206 3,45 32,81 2,51 5,50
35,00 - 40,00 272 15.728.359,43 2,62 226 209 3,40 37,63 2,51 5,25
40,00 - 45,00 296 19.087.584,52 3,18 243 228 3,34 42,58 2,51 5,00
45,00 - 50,00 345 24.215.463,53 4,04 256 239 3,46 47,74 2,51 5,25
50,00 - 55,00 417 29.188.893,27 4,86 263 244 3,45 52,55 2,51 6,50
55,00 - 60,00 459 33.800.057,63 5,63 269 252 3,50 57,44 2,51 7,25
60,00 - 65,00 534 43.258.811,99 7,21 276 259 3,43 62,50 2,51 5,25
65,00 - 70,00 674 53.877.495,18 8,98 282 263 3,55 67,52 2,51 5,50
70,00 - 75,00 998 83.935.409,41 13,99 297 276 3,64 72,69 2,51 6,50
75,00 - 80,00 2.102 189.129.676,16 31,50 315 301 3,47 77,86 2,51 5,75
80,00 - 85,00 317 33.660.146,82 5,64 332 310 3,92 82,47 2,51 5,25
85,00 - 90,00 244 25.230.926,59 4,21 328 308 3,69 87,28 2,51 6,00
90,00 - 95,00 116 12.018.998,39 2,00 335 315 3,66 92,26 2,51 5,25
95,00 - 100,00 55 6.293.158,76 1,05 335 322 3,58 97,26 2,75 5,00,,,,
,TOTAL 7.526 599.999.999,96 100,00 291 274 3,53 67,86 2,51 7,25,,,
65,,,,
