FECHA
PAGO,PAGO NAS-IO
23/05/2005 910.000
26/09/2005 650.000
27/12/2005 650.000
27/03/2006 650.000
26/06/2006 650.000
26/09/2006 650.000
27/12/2006 650.000
26/03/2007 650.000
26/06/2007 650.000
26/09/2007 650.000
27/12/2007 650.000
26/03/2008 650.000
26/06/2008 0
26/09/2008 0
29/12/2008 0
26/03/2009 0
26/06/2009 0
28/09/2009 0
28/12/2009 0
26/03/2010 0
28/06/2010 0
27/09/2010 0
27/12/2010 0
28/03/2011 0
27/06/2011 0
26/09/2011 0
27/12/2011 0
26/03/2012 0
26/06/2012 0
26/09/2012 0
27/12/2012 0
26/03/2013 0
26/06/2013 0
26/09/2013 0
27/12/2013 0
26/03/2014 0
26/06/2014 0
26/09/2014 0
29/12/2014 0
26/03/2015 0
26/06/2015 0
28/09/2015 0
28/12/2015 0
29/03/2016 0
27/06/2016 0
26/09/2016 0
27/12/2016 0
27/03/2017 0
26/06/2017 0
26/09/2017 0
27/12/2017 0
26/03/2018 0
26/06/2018 0
26/09/2018 0
27/12/2018 0
26/03/2019 0
26/06/2019 0
26/09/2019 0
27/12/2019 0
26/03/2020 0
26/06/2020 0
28/09/2020 0
28/12/2020 0
26/03/2021 0
28/06/2021 0
27/09/2021 0
27/12/2021 0
28/03/2022 0
27/06/2022 0
26/09/2022 0
27/12/2022 0
27/03/2023 0
26/06/2023 0
26/09/2023 0
27/12/2023 0
26/03/2024 0
26/06/2024 0,
TOTAL 8.060.000,00,
