Elaborado con datos a 18/04/05,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA CAJAMAR 2
(División por Fecha de Formalización)
,
,VENCIMIENTO VENCIMIENTO
TIPO ACTUAL
INICIAL RESIDUAL
FECHA SALDO ACTUAL SALDO PONDERADO Min. TIPO Máx. TIPO
NUM PONDERADO PONDERADO
FORMALIZACION EUROS ACTUAL % POR SALDO ACTUAL ACTUAL
POR SALDO POR SALDO
ACTUAL
INICIAL (meses) ACTUAL (meses)
,1993 1 16.335,19 0,00 181 35 3,75 3,75 3,75
1994 2 48.352,27 0,00 225 98 3,75 3,75 3,75
1995 10 222.425,92 0,02 201 82 4,46 3,50 6,50
1996 8 251.212,05 0,02 203 98 4,19 3,10 6,50
1997 46 1.477.035,04 0,14 210 117 3,68 2,66 4,50
1998 51 1.682.906,52 0,16 217 136 3,75 3,00 4,50
1999 66 2.572.802,78 0,24 210 142 3,57 3,07 4,50
2000 75 3.206.289,30 0,30 229 172 3,79 2,83 5,75
2001 379 18.206.954,97 1,70 237 192 3,51 2,56 4,25
2002 167 11.072.015,50 1,04 274 242 3,30 2,56 4,42
2003 1.095 93.878.423,76 8,79 288 270 3,16 2,70 5,42
2004 10.396 935.768.778,33 87,57 293 283 3,06 2,30 5,75
2005 2 194.421,09 0,02 280 277 3,12 2,82 3,50
,TOTALES 12.298 1.068.597.952,72 100,00 291 279 3,08 2,30 6,50
88,
