Elab,,de 2007,,,
,,,,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA CAM 8
(División por Saldo Actual),,,,
,,,,,
,VENCIMIENTO VENCIMIENTO
INICIAL RESIDUAL TIPO ACTUAL
SALDO ACTUAL SALDO SALDO ACTUAL Min. TIPO Máx. TIPO
SALDO ACTUAL EUROS NUM PONDERADO POR PONDERADO POR PONDERADO POR
EUROS ACTUAL % MEDIO ACTUAL ACTUAL
SALDO INICIAL SALDO ACTUAL SALDO ACTUAL
(meses) (meses),,,,
,Inferior a 50.000 2.010 81.444.354,33 3,65 233 198 4,360 42.594,44,,2,659,5,914,
,50.000 - 100.000 7.754 582.620.225,18 26,11 302 269 4,310 77.767,21 2,820 5,921
100.000 - 150.000 5.423 666.095.351,65 29,85 340 312 4,300 124.516,17 2,750 5,598
150.000 - 200.000 2.586 445.020.278,14 19,94 361 336 4,280 173.265,35 2,700 5,598
200.000 - 250.000 1.008 221.321.819,51 9,92 360 335 4,240 220.578,06 3,000 5,364
250.000 - 300.000 370 100.410.080,33 4,50 347 321 4,220 272.117,46 2,623 5,250
300.000 - 350.000 145 46.628.516,15 2,09 327 300 4,240 322.138,03 3,000 5,164
350.000 - 400.000 93 34.580.621,87 1,55 340 313 4,170 372.418,79 2,900 5,049
400.000 - 450.000 41 17.297.024,46 0,78 333 309 4,150 422.363,84 3,150 5,164
450.000 - 500.000 23 10.916.075,27 0,49 323 301 4,160 475.122,79 3,183 5,015
500.000 - 550.000 8 4.192.280,80 0,19 297 271 4,010 524.306,92 3,433 4,414
550.000 - 600.000 3 1.758.068,35 0,08 360 340 4,200 586.195,93 4,001 4,365
600.000 - 650.000 8 4.984.270,83 0,22 318 293 4,280 623.198,19 3,621 4,848
650.000 - 700.000 8 5.369.430,08 0,24 267 240 4,430 671.337,01 3,333 5,265
700.000 - 750.000 2 1.461.293,38 0,07 300 278 4,730 730.675,06 4,714 4,750
750.000 - 800.000 6 4.670.517,99 0,21 306 277 4,280 778.603,29 3,721 4,864
850.000 - 900.000 1 893.148,37 0,04 300 295 4,100 893.148,37 4,100 4,100
950.000 - 1.000.000 2 1.976.863,68 0,09 300 267 4,370 988.469,15 3,889 4,864,,,,
,TOTAL 19.491 2.231.640.220 100 332 303 4,290 153.587,94 2,623 5,921,,,,
69,,,,,
