,Nombre,,,Cargo,
D. Francisco Javier Soriano Arosa,,,Presidente,,
Caja de Ahorros Municipal de Burgos, representado por
D. Vicente Palacios Martínez,,,Consejero,,
D. Francisco Javier Sáiz Alonso,,,Consejero,,
D. Víctor Iglesias Ruiz,,,Consejero,,
Caja de Ahorros del Mediterráneo, representado por D.
Juan Luis Sabater Navarro,,,Consejero,,
D. Gumersindo Ruiz Bravo de Mansilla,,,Consejero,,
D. José Carlos Contreras Gómez,,,Consejero,,
Bear Stearns Spanish Securitization Corporation,
representado por D. Jesús Río Cortés,,,Consejero,,
