Elaborado con datos a 23/05/2008,,
,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 6, FTA.
(División por Localización Geográfica de la Garantía),
,,
,VENCIMIENTO INICIAL VENCIMIENTO RESIDUAL TIPO ACTUAL
PROVINCIA SALDO ACTUAL SALDO Min. TIPO Máx. TIPO
NUM PONDERADO POR PONDERADO POR SALDO PONDERADO POR
GARANTÍA EUROS ACTUAL % ACTUAL ACTUAL
SALDO INICIAL (meses) ACTUAL (meses) SALDO ACTUAL,
,Alava 20 3.780.795,54 0,22 378 356 5,31 5,007 6,064
Albacete 13 1.286.829,91 0,07 357 313 5,29 4,799 6,000
Alicante 401 46.411.724,62 2,65 350 322 5,24 3,396 6,293
Almeria 118 16.745.866,55 0,96 368 348 5,14 4,250 5,848
Asturias 102 11.455.374,45 0,65 366 341 5,16 4,669 5,897
Avila 26 2.379.977,89 0,14 354 330 5,26 4,799 5,857
Badajoz 32 2.939.252,82 0,17 380 359 5,15 4,849 5,790
Baleares 55 10.421.032,41 0,59 394 368 5,20 4,873 6,250
Barcelona 878 129.664.695,35 7,40 385 346 5,31 4,749 6,500
Burgos 101 11.554.560,34 0,66 371 334 5,14 4,749 6,373
Caceres 55 4.584.238,04 0,26 310 274 5,08 4,799 6,043
Cadiz 58 7.779.393,79 0,44 390 368 5,15 4,799 5,657
Cantabria 31 3.622.618,07 0,21 306 275 5,14 4,799 5,725
Castellon 395 35.764.447,61 2,04 337 301 5,28 3,950 6,750
Ceuta 1 46.709,96 0,00 104 84 5,01 5,007 5,007
Ciudad Real 31 2.910.445,00 0,17 389 364 5,29 4,799 5,943
Cordoba 31 4.058.694,95 0,23 376 350 5,20 4,949 5,475
Cuenca 34 3.071.850,59 0,18 374 349 5,28 4,749 5,840
Gerona 28 2.541.383,81 0,15 348 307 5,44 5,007 6,500
Granada 75 9.486.685,65 0,54 403 378 5,26 4,749 6,040
Guadalajara 1.512 136.938.433,70 7,81 319 273 5,29 3,950 6,484
Guipuzcoa 3 382.244,94 0,02 349 309 5,31 5,147 6,000
Huelva 8 1.084.865,17 0,06 345 319 5,09 4,799 5,693
Huesca 631 46.400.648,72 2,65 313 270 5,38 4,749 8,255
Jaen 65 6.968.600,95 0,40 376 352 5,14 4,849 7,647
La Coruña 50 7.018.134,81 0,40 387 363 5,08 4,799 6,043
Las Palmas 71 8.619.139,83 0,49 375 345 5,20 4,849 5,793
Leon 69 7.529.513,11 0,43 388 366 5,18 4,749 6,225
Lerida 494 50.225.486,57 2,87 358 320 5,38 4,250 8,475
Logroño 858 76.625.080,56 4,37 318 278 5,22 4,500 7,464
Lugo 3 200.216,18 0,01 361 329 5,31 5,293 5,387
Madrid 4.898 571.252.761,06 32,60 339 300 5,26 4,150 8,397
Malaga 145 21.386.788,55 1,22 383 360 5,18 4,799 5,968
Murcia 174 21.413.287,91 1,22 378 348 5,27 4,753 6,293
Navarra 266 30.906.660,92 1,76 356 316 5,25 4,250 8,166
Orense 20 2.219.731,14 0,13 355 327 5,14 4,753 5,968
Palencia 26 2.850.119,30 0,16 322 289 5,09 4,849 5,590
Pontevedra 56 8.303.290,44 0,47 420 400 5,15 4,703 6,043
S. C. De Tenerife 39 4.680.847,32 0,27 357 320 5,25 4,753 5,998
Salamanca 17 1.766.479,55 0,10 352 325 5,12 4,799 5,750
Segovia 15 2.180.412,04 0,12 337 312 5,36 5,007 5,847
Sevilla 170 22.498.585,56 1,28 363 338 5,12 4,749 5,897
Soria 73 5.840.913,12 0,33 319 274 5,28 4,700 6,564
Tarragona 318 32.041.743,49 1,83 349 308 5,31 4,500 6,000
Teruel 266 20.054.527,67 1,14 319 283 5,37 4,700 8,397
Toledo 370 44.397.455,33 2,53 360 328 5,32 4,719 6,250
Valencia 1.242 131.363.630,22 7,50 361 329 5,18 4,000 7,429
Valladolid 24 2.895.072,27 0,17 350 325 5,06 4,749 5,590
Vizcaya 36 7.045.179,07 0,40 420 399 5,46 4,948 5,968
Zamora 4 502.887,97 0,03 250 229 5,10 4,898 5,225
Zaragoza 1.859 166.208.570,74 9,49 328 286 5,22 4,656 7,225,
,TOTALES 16.267 1.752.307.885,56 100,00 346 309 5,25 3,396 8,475,
68,,
