Elab,,004
,CARTERA AUDITADA ELEGIBLE DE DERECHOS DE CRÉDITO, EMISIÓN TDA 22-MIXTO
(División por Localización Geográfica de la Garantía)
GRUPO 1,
,,
,VENCIMIENTO VENCIMIENTO
INICIAL RESIDUAL TIPO ACTUAL
SALDO ACTUAL SALDO Min. TIPO Máx. TIPO
PROVINCIA GARANTÍA NUM PONDERADO PONDERADO PONDERADO POR
EUROS ACTUAL % ACTUAL ACTUAL
POR SALDO POR SALDO SALDO ACTUAL
INICIAL (meses) ACTUAL (meses),
,ALICANTE 1 53.552,04 0,02 361 342 3,95 3,95 3,95
ALMERIA 123 8.777.450,23 2,79 257 220 3,75 2,90 6,00
BADAJOZ 57 4.414.416,20 1,41 357 341 3,95 3,75 5,95
BARCELONA 221 23.456.235,98 7,48 319 291 3,33 2,70 4,25
CACERES 4 194.662,59 0,06 342 325 3,95 3,95 3,95
CADIZ 219 15.767.216,12 5,02 330 308 3,89 2,75 5,00
CANTABRIA 1 83.398,22 0,03 361 327 3,75 3,75 3,75
CASTELLON 7 479.407,59 0,15 340 319 3,88 3,65 3,95
CORDOBA 50 3.719.519,72 1,18 290 263 3,70 2,70 5,00
GRANADA 1235 79.191.970,68 25,21 253 209 3,75 2,25 6,00
GUADALAJARA 20 2.165.702,59 0,69 358 342 3,91 3,40 4,35
HUELVA 43 2.961.402,51 0,94 307 282 3,72 2,70 4,50
JAEN 194 11.821.239,63 3,76 241 196 3,78 2,75 5,00
LA CORUÑA 1 44.614,35 0,01 361 343 3,95 3,95 3,95
LAS PALMAS 179 17.268.879,75 5,5 355 338 3,94 3,50 5,95
LERIDA 24 1.574.245,65 0,5 291 271 3,64 3,00 3,85
MADRID 379 47.628.195,42 15,16 350 334 3,90 2,75 5,95
MALAGA 366 27.371.246,21 8,72 297 262 3,84 2,70 5,95
MELILLA 3 288.504,23 0,09 300 285 3,90 3,50 4,00
PONTEVEDRA 1 116.451,68 0,04 361 345 3,95 3,95 3,95
S. C. DE TENERIFE 45 4.155.840,32 1,32 358 341 3,92 3,51 3,95
SEVILLA 225 13.877.101,96 4,43 306 273 3,82 2,75 5,95
TARRAGONA 464 44.443.493,43 14,15 324 304 3,29 2,56 4,00
TOLEDO 25 2.583.582,39 0,82 354 337 3,92 3,25 4,25
VALENCIA 20 1.632.043,16 0,52 342 327 4,02 3,95 4,50,
,TOTALES 3.907 3 14.070.372,65 100 304 275 3,71 2,25 6,00,
89,,
