,,004,
,,,
,CARTERA AUDITADA ELEGIBLE DE DERECHOS DE CRÉDITO, EMISIÓN TDA 22-MIXTO
(División por Ratio Saldo Actual/Tasación)
GRUPO 1,,
,,,
,RATIO SALDO
VENCIMIENTO VENCIMIENTO TIPO
ACTUAL/
SALDO INICIAL RESIDUAL ACTUAL
RATIO SALDO SALDO ACTUAL TASACION Min. TIPO Máx. TIPO
NUM ACTUAL PONDERADO PONDERADO PONDERADO
ACTUAL/TASACION EUROS PONDERADO ACTUAL ACTUAL
% POR SALDO POR SALDO POR SALDO
POR SALDO
INICIAL (meses) ACTUAL (meses) ACTUAL
ACTUAL,,
,Menos de 10,00 58 104.811,50 0,03 204 179 3,85 7,75 2,83 5,95
10,00 - 15,00 10 339.266,11 0,11 221 194 3,75 13,09 3,25 5,95
15,00 - 20,00 21 812.157,85 0,26 189 148 4,18 17,59 3,38 5,95
20,00 - 25,00 27 1.371.123,93 0,44 195 153 3,90 22,46 3,21 5,00
25,00 - 30,00 81 3.993.267,20 1,27 223 174 3,70 27,62 2,81 5,00
30,00 - 35,00 105 6.718.570,53 2,14 252 209 3,70 32,61 2,75 5,00
35,00 - 40,00 133 8.313.031,39 2,65 230 186 3,70 37,46 2,81 6,00
40,00 - 45,00 194 12.600.819,92 4,01 247 207 3,67 42,68 2,65 5,00
45,00 - 50,00 264 18.655.789,26 5,94 266 228 3,72 47,62 2,64 5,25
50,00 - 55,00 322 22.762.042,38 7,25 270 231 3,64 52,58 2,56 6,00
55,00 - 60,00 407 29.171.128,63 9,29 277 238 3,62 57,63 2,65 6,00
60,00 - 65,00 469 33.877.113,20 10,79 276 239 3,63 62,72 2,70 6,00
65,00 - 70,00 472 35.294.409,43 11,24 294 258 3,63 67,12 2,25 5,25
70,00 - 75,00 212 21.622.779,20 6,88 329 308 3,62 72,75 2,70 4,90
75,00 - 80,00 1132 118.434.062,12 37,71 349 333 3,82 78,09 2,43 5,00,,
,TOTALES 3.907 314.070.372,65 100 304 275 3,71 64,67 2,25 6,00,,
91,,,
