CAIXA TARRAGONA,1999,2000,2001,2002,2003
1. Saldo Vivo crédito hipotecario vivienda,1.172.977,1.347.893,1.506.495,1.659.910,1.766.928
2. Número de préstamos hipotecario,26.456,29.831,31.861,33.372,34.077
vivienda,,,,,
3. Número de préstamos impagados < 90,510,759,921,906,979
días,,,,,
4. Importe préstamos impagados < 90 días,28.657,43.561,54.824,58.317,65.087
5. Núm. ptmos. Deudores Dudoso Cobro,265,666,721,667,394
6. Importe ptmos. Deudores Dudoso,5.722,20.682,22.210,25.359,23.155
Cobro,,,,,
7. Tasa de impago > 90 días *,0,49%,1,53%,1,47%,1,53%,1,31%
8. Provisiones en el ejercicio,337,3.917,7.209,6.013,9.141
9. Recuperaciones en el ejercicio,-,7.886,10.376,6.058,7.947
10. Paso a cuentas suspensivas,-,-,7.941,3.956,6.806
11. Importe de amortizaciones anticipadas,67.216,69.710,108.539,143.476,184.950
12. Tasa de amortización anticipada **,5,73%,5,17%,7,20%,8,64%,10,47%
