CAJA NAVARRA,1999,2000,2001,2002,2003
1. Saldo Vivo crédito hipotecario vivienda,N.D.,N.D.,N.D.,3284303,17,3932126,26
2. Número de préstamos hipotecario,N.D.,N.D.,N.D.,55.515,59.893
vivienda,,,,,
3. Número de préstamos impagados < 90,N.D.,N.D.,N.D.,8.519,8.841
días,,,,,
4. Importe préstamos impagados < 90 días,N.D.,N.D.,N.D.,362.066,17,416.678,95
5. Núm. ptmos. Deudores Dudoso Cobro,N.D.,N.D.,N.D.,4.021,4.223
6. Importe ptmos. Deudores Dudoso,N.D.,N.D.,N.D.,14.306,4,15.917,34
Cobro,,,,,
7. Tasa de impago > 90 días *,N.D.,N.D.,N.D.,0,44%,0,40%
8. Provisiones en el ejercicio,N.D.,N.D.,N.D.,5.096,5.469
