CAIXA TERRASSA,1999,2000,2001,2002,2003
1. Saldo Vivo crédito hipotecario,1.400.260,1.412.550,1.826.060,2.281.200,2.863.240
2. Número de préstamos hipotecario,30.602,32.944,35.154,38.218,39.836
vivienda,,,,,
3. Número de préstamos impagados < 90,5,-,-,-,-
días,,,,,
4. Importe préstamos impagados < 90 días,170,0,00,0,00,0,00,0,00
5. Núm. ptmos. Deudores Dudoso Cobro,244,224,265,264,256
6. Importe ptmos. Deudores Dudoso,9.490,7.800,11.240,12.380,11.930
Cobro,,,,,
7. Tasa de impago > 90 días *,0,68%,0,55%,0,62%,0,54%,0,42%
8. Provisiones en el ejercicio,3.250,2.480,3.490,4.210,4.290
9. Recuperaciones en el ejercicio,8.820,2.790,1.900,270,140
10. Paso a cuentas suspensivas,2.360,390,350,70,10
11. Importe de amortizaciones anticipadas,N.D.,N.D,N.D,N.D,N.D
12. Tasa de amortización anticipada **,N.D,N.D,N.D,N.D,N.D
