,,
,,
,AUDITED PORTFOLIO, TDA 22-MIXTO ISSUE
(Grouped by Remaining Term)
GROUP 1,
,,
,WEIGHTED Max.
WEIGHTED WEIGHTED AVERAGE
TOTAL CURRENT CURRENT AVERAGE Min. CURRENT CURRENT
REMAINING TERM NUM AVERAGE INITIAL CURRENT INTEREST
BALANCE EUROS BALANCE % REMAINING TERM INTEREST RATE INTEREST
TERM (months) RATE
(months) RATE,
,Menos de 45,00 56 180.083,94 0,06 117 36 4,37 2,83 5,95
45,00 - 60,00 9 420.234,90 0,13 110 53 3,87 2,75 4,75
60,00 - 75,00 13 644.735,01 0,21 134 70 3,84 3,00 5,00
75,00 - 90,00 43 2.360.772,30 0,75 148 84 3,74 3,15 6,00
90,00 - 105,00 83 4.277.723,89 1,36 157 98 3,83 2,64 5,00
105,00 - 120,00 99 5.391.074,16 1,72 170 111 3,75 3,00 5,25
120,00 - 135,00 110 6.121.144,80 1,95 182 126 3,77 2,65 5,25
135,00 - 150,00 136 8.366.417,90 2,66 194 142 3,78 2,76 6,00
150,00 - 165,00 275 16.804.627,44 5,35 198 158 3,67 2,75 6,00
165,00 - 180,00 182 10.918.223,82 3,48 222 170 3,69 2,70 5,25
180,00 - 195,00 135 7.724.839,76 2,46 245 186 3,70 2,65 4,75
195,00 - 210,00 162 10.475.095,48 3,34 249 202 3,65 2,75 5,00
210,00 - 225,00 315 22.981.143,02 7,32 249 218 3,66 2,56 6,00
225,00 - 240,00 167 12.778.643,59 4,07 265 229 3,62 2,70 5,25
240,00 - 255,00 42 2.867.044,93 0,91 298 247 3,68 2,25 5,00
255,00 - 270,00 73 5.443.150,36 1,73 300 263 3,61 2,43 4,50,
,270,00 - 285,00 329 27.780.503,11 8,85 304 279 3,50 2,70 5,00,
,285,00 - 300,00 122 11.249.822,73 3,58 318 289 3,76 2,70 5,00
300,00 - 315,00 37 2.783.188,40 0,89 346 308 3,62 3,01 4,25
315,00 - 330,00 57 4.668.655,24 1,49 356 326 3,48 2,94 4,75
330,00 - 345,00 723 69.893.972,96 22,25 361 340 3,65 2,56 5,95
345,00 - 360,00 735 79.315.836,07 25,25 362 347 3,90 2,70 5,95
450,00 - 465,00 2 308.018,95 0,10 480 464 3,15 3,15 3,15
465,00 - 480,00 2 315.419,89 0,10 480 466 3,70 3,60 3,80,
,TOTAL 3.907 314.070.372,65 100 304 275 3,71 2,25 6,00,
88,,
