Infor,,
,AUDITED PORTFOLIO, TDA 22-MIXTO ISSUE
(Grouped by location property)
GROUP 2,
,,
,WEIGHTED WEIGHTED Min. Max.
CURRENT WEIGHTED
TOTAL CURRENT AVERAGE AVERAGE CURRENT CURRENT
PROPERTY PROVINCE NUM BALANCE AVERAGE INITIAL
BALANCE EUROS REMAINING CURRENT INTEREST INTEREST
% TERM (months)
TERM (months) INTEREST RATE RATE RATE,
,ALAVA 1 1 10.631,13 0,04 360 340 3,22 3,22 3,22
ALICANTE 1 6 .770,50 0,00 361 342 5,95 5,95 5,95
ALMERIA 12 1 .210.392,07 0,45 285 260 4,00 3,30 5,95
BADAJOZ 55 4 .155.588,88 1,55 358 343 4,06 3,95 5,95
BARCELONA 844 1 13.837.445,93 42,45 390 373 3,46 2,50 4,75
BURGOS 3 3 77.781,86 0,14 332 305 2,98 2,80 3,06
CACERES 3 1 89.461,77 0,07 318 301 3,93 3,85 3,95
CADIZ 117 7 .172.899,68 2,67 348 331 4,03 2,91 6,00
CASTELLON 4 9 0.613,15 0,03 323 301 4,25 3,95 5,13
CORDOBA 19 9 36.493,17 0,35 327 310 4,43 3,90 6,00
GERONA 15 1 .587.610,54 0,59 378 364 3,44 3,00 4,25
GRANADA 101 7 .724.308,97 2,88 311 283 3,91 2,41 6,00
GUADALAJARA 33 3 .218.673,61 1,20 353 337 3,66 2,95 5,95
HUELVA 15 6 43.092,86 0,24 339 324 4,30 3,41 6,00
HUESCA 2 1 79.268,45 0,07 303 287 3,34 3,00 3,71
JAEN 11 7 96.099,19 0,30 269 241 3,86 3,50 5,00
LA CORUÑA 2 9 4.674,11 0,04 351 326 3,20 3,05 5,95
LAS PALMAS 84 3 .556.394,04 1,33 353 336 4,26 3,51 5,95
LERIDA 29 3 .108.608,80 1,16 384 371 3,37 2,75 4,50
LOGROÑO 70 7 .860.384,93 2,93 349 329 3,25 2,56 5,95
MADRID 681 5 8.270.987,22 21,73 353 334 3,79 2,70 6,50
MALAGA 105 4 .885.213,61 1,82 354 337 4,43 3,06 6,25
MELILLA 1 1 00.852,95 0,04 359 333 3,36 3,36 3,36
NAVARRA 182 1 8.627.084,61 6,95 309 285 3,04 2,40 4,50
S. C. DE TENERIFE 36 1 .502.708,42 0,56 352 336 4,48 3,85 5,95
SEVILLA 141 6 .643.972,62 2,48 353 337 4,20 3,05 6,25
TARRAGONA 124 1 3.588.569,50 5,07 382 366 3,48 2,76 4,50
TOLEDO 23 1 .538.832,83 0,57 347 330 3,90 3,25 5,95
VALENCIA 10 2 35.624,77 0,09 357 340 5,13 3,95 5,95
ZARAGOZA 54 5.930.439,02 2,21 336 315 3,07 2,56 3,41,
,TOTAL 2.778 268.181.479,19 100 365 347 3,59 2,40 6,50,
98,,
