,,,,,
,2000,2001,2002,2003,2004***
,,,,,
Total Activo,15.438.582,18.809.606,22.182.663,24.364.262,30.695.108
Crédito sobre Clientes,12.154.858,15.071.920,17.725.816,19.676.323,24.790.648
Crédito con garantía real,6.673.620,8.800.734,11.091.447,12.195.742,15.877.605
Crédito hipotecario,6.563.267,8.585.921,10.713.495,11.862.400,15.531.023
Crédito hipotecario vivienda,3.191.338,5.124.523,6.714.731,6.561.995,8.325.123
Núm. Ptmos hipotecario vivienda,93.200,122.075,142.537,128.479,131.789
Núm. Ptmos con impago <90 días,2.659,3.020,3.211,2.752,2.546
Importe Ptmos con impago <90 días,94.684,127.657,152.392,152.035,163.703
Núm. Ptmos con impago >90 días,1.255,1.345,1.397,1.371,1.408
Importe Ptmos con impago >90 días,39.243,53.383,68.736,77.249,91.481
Saldo de Provisiones en el ejercicio*,6.182,5.724,6.759,9.743,8.803
Saldo Vivo Préstamos Fallidos,18.627,20.099,29.426,35.290,35.988
(impago de más de 365 días)**,,,,,
Total recuperación impago >90 días,19.386,26.759,42.523,44.800,63.153
Índice morosidad crédito hipotecario,0,99%,0,74%,0,77%,0,90%,0,74%
vivienda,,,,,
