Elab,,005
,,
,SELECCIÓN PREVIA DE DERECHOS DE CRÉDITO, EMISIÓN TDA CAM 4
(División por Ratio Saldo Actual/Tasación)
-,
,,
,RATIO SALDO
VENCIMIENTO VENCIMIENTO TIPO
ACTUAL/
SALDO INICIAL RESIDUAL ACTUAL
RATIO SALDO SALDO ACTUAL TASACION Min. TIPO Máx. TIPO
NUM ACTUAL PONDERADO PONDERADO PONDERADO
ACTUAL/TASACION EUROS PONDERADO ACTUAL ACTUAL
% POR SALDO POR SALDO POR SALDO
POR SALDO
INICIAL (meses) ACTUAL (meses) ACTUAL
ACTUAL,
,0,00 - 10,00 75 2.156.023,34 0,10 185 147 3,36 7,85 2,75 4,25
10,00 - 20,00 632 22.561.922,09 1,00 192 159 3,32 16,05 2,56 4,50
20,00 - 30,00 1.658 72.529.497,27 3,20 207 175 3,33 25,66 2,50 4,53
30,00 - 40,00 2.297 122.171.263,81 5,40 222 190 3,33 35,46 2,25 5,00
40,00 - 50,00 3.121 205.941.136,59 9,10 236 204 3,34 45,38 2,00 5,00
50,00 - 60,00 4.264 309.691.610,80 13,68 245 214 3,35 55,29 2,25 4,85
60,00 - 70,00 5.968 486.599.362,61 21,50 254 225 3,38 65,41 2,16 6,50
70,00 - 80,00 9.924 806.523.178,82 35,64 279 254 3,38 75,08 1,87 5,61
80,00 - 90,00 1.689 152.260.868,87 6,73 305 271 3,38 84,52 2,50 4,53
90,00 - 100,00 941 82.705.390,14 3,65 304 275 3,42 93,94 2,70 4,75,
,TOTALES 30.569 2.263.140.254,34 100 262 233 3,37 64,54 1,87 6,50,
79,,
