,A Bond,,B Bond,
Entity,,,,
,Number,Amount,Number,Amount
,,,,
,5,924,592,400,000,160,16,000,000
Calyon,,,,
,5,924,592,400,000,160,16,000,000
JP Morgan,,,,
,,,,
,5,924,592,400,000,160,16,000,000
Société Générale,,,,
,,,,
,1,498,149,800,000,-,-
CAM,,,,
,,,,
,50,5,000,000,-,-
Caja Madrid,,,,
,,,,
,50,5,000,000,-,-
EBN Banco,,,,
,,,,
,50,5,000,000,-,-
Dexia Bank,,,,
,,,,
,50,5,000,000,-,-
Fortis Bank,,,,
,,,,
,50,5,000,000,-,-
Santander Central Hispano,,,,
,,,,
,19,520,1,952,000,000,480,48,000,000
TOTAL,,,,
,,,,
