Information as of 25/01/2005,
,AUDITED PORTFOLIO, TDA CAM 4 ISSUE
(Grouped by issue date)
-
,
,WEIGHTED Min. Max.
WEIGHTED AVERAGE WEIGHTED AVERAGE
TOTAL CURRENT CURRENT AVERAGE CURRENT CURRENT
ISSUE DATE NUM INITIAL TERM REMAINING TERM
BALANCE EUROS BALANCE % CURRENT INTEREST INTEREST
(months) (months)
INTEREST RATE RATE RATE
,1989 1 17.567,03 0,00 267 82 4,00 4,00 4,00
1991 3 101.379,48 0,00 285 126 3,21 3,00 3,50
1992 17 644.700,80 0,03 293 147 3,17 2,75 3,50
1993 18 422.187,52 0,02 210 70 3,22 2,66 3,67
1994 100 2.966.139,51 0,13 231 107 3,52 2,75 4,50
1995 134 4.198.344,12 0,19 223 109 3,62 2,75 6,50
1996 204 6.347.591,79 0,28 217 116 3,56 2,75 5,00
1997 507 18.516.558,26 0,82 225 136 3,36 2,65 4,60
1998 1.178 49.588.840,13 2,19 240 162 3,39 2,50 5,00
1999 2.013 99.827.127,63 4,41 252 185 3,51 2,58 4,95
2000 2.234 133.722.295,71 5,91 264 210 3,50 2,65 5,00
2001 4.343 322.651.465,18 14,26 295 253 3,40 2,50 5,00
2002 4.900 380.273.978,95 16,80 266 236 3,36 2,30 5,61
2003 10.068 827.599.577,48 36,57 254 236 3,34 2,00 5,30
2004 4.849 416.262.500,75 18,39 253 243 3,33 1,87 5,00
,TOTAL 30.569 2.263.140.254,34 100,00 262 232,8 3,37 1,87 6,50
61,
