Information,,
,,
,AUDITED PORTFOLIO, TDA CAM 4 ISSUE
(Grouped by Seasoning)
-,
,,
,WEIGHTED Max.
WEIGHTED AVERAGE WEIGHTED AVERAGE
TOTAL CURRENT CURRENT AVERAGE Min. CURRENT CURRENT
SEASONING MONTHS NUM INITIAL TERM REMAINING TERM
BALANCE EUROS BALANCE % CURRENT INTEREST RATE INTEREST
(months) (months)
INTEREST RATE RATE,
,0,00 - 15,00 7.001 598.034.471,39 26,42 254 243 3,33 1,87 5,00
15,00 - 30,00 10.031 806.631.034,05 35,64 253 233 3,35 2,00 5,61
30,00 - 45,00 6.030 466.567.623,84 20,62 287 249 3,37 2,30 5,00
45,00 - 60,00 3.170 200.532.442,33 8,86 275 224 3,49 2,65 5,00
60,00 - 75,00 2.439 121.037.896,80 5,35 252 185 3,50 2,58 4,95
75,00 - 90,00 1.185 47.154.333,08 2,08 234 154 3,38 2,50 5,00
90,00 - 105,00 392 13.471.709,45 0,60 220 125 3,43 2,65 5,00
105,00 - 120,00 174 5.317.773,36 0,23 222 110 3,66 2,75 6,50
120,00 - 135,00 109 3.226.754,44 0,14 229 105 3,52 2,75 4,50
135,00 - 150,00 32 988.352,65 0,04 263 119 3,21 2,66 3,67
150,00 - 165,00 5 160.295,92 0,01 269 112 3,10 2,75 3,50
180,00 - 195,00 1 17.567,03 0,00 267 82 4,00 4,00 4,00,
,TOTAL 30.569 2.263.140.254,34 100,00 262 233 3,37 1,87 6,50,
66,,
