FECHAS,EURIBOR 3 meses,SERIE A,SERIE B
19/09/2005 2,1360% 2,256% 2,466%,,,
16/09/2005 2,1360% 2,256% 2,466%,,,
15/09/2005 2,1360% 2,256% 2,466%,,,
14/09/2005 2,1350% 2,255% 2,465%,,,
13/09/2005 2,1360% 2,256% 2,466%,,,
12/09/2005 2,1340% 2,254% 2,464%,,,
09/09/2005 2,1340% 2,254% 2,464%,,,
08/09/2005 2,1340% 2,254% 2,464%,,,
07/09/2005 2,1340% 2,254% 2,464%,,,
06/09/2005 2,1320% 2,252% 2,462%,,,
05/09/2005 2,1310% 2,251% 2,461%,,,
02/09/2005 2,1300% 2,250% 2,460%,,,
01/09/2005 2,1330% 2,253% 2,463%,,,
31/08/2005 2,1340% 2,254% 2,464%,,,
30/08/2005 2,1340% 2,254% 2,464%,,,
29/08/2005 2,1330% 2,253% 2,463%,,,
26/08/2005 2,1320% 2,252% 2,462%,,,
25/08/2005 2,1330% 2,253% 2,463%,,,
24/08/2005 2,1320% 2,252% 2,462%,,,
