Elaborado con datos a 1/09/2005,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA CAM 5
(División por Fecha de Próxima Revisión de Tipo de Interés),
,,
,VENCIMIENTO VENCIMIENTO
FECHA DE TIPO ACTUAL
INICIAL RESIDUAL
PRÓXIMA SALDO ACTUAL SALDO PONDERADO Min. TIPO Máx. TIPO
NUM PONDERADO PONDERADO
REVISIÓN DE TIPO EUROS ACTUAL % POR SALDO ACTUAL ACTUAL
POR SALDO POR SALDO
(año-mes) ACTUAL
INICIAL (meses) ACTUAL (meses),
,200506 2.039 2 07.185.145,45 8,35 317 296 3,250 2,665 4,265
200507 2.509 2 58.704.595,45 10,43 317 297 3,160 2,593 4,417
200508 1.547 1 56.740.094,58 6,32 318 298 3,140 2,553 4,365
200509 1.993 2 12.723.756,05 8,58 327 308 3,230 1,850 4,312
200510 2.280 2 39.790.518,29 9,67 331 311 3,240 2,250 5,000
200511 2.739 2 96.632.605,42 11,96 332 315 3,240 2,250 4,500
200512 2.602 2 65.677.109,61 10,71 325 305 3,240 2,250 4,419
200601 1.543 1 59.632.078,96 6,44 328 304 3,320 2,750 4,828
200602 1.319 1 37.655.603,56 5,55 331 308 3,290 2,660 5,750
200603 1.584 1 71.973.013,02 6,93 334 312 3,310 2,750 4,422
200604 1.525 1 65.903.563,74 6,69 339 317 3,310 2,750 4,250
200605 1.518 1 63.266.350,09 6,58 339 318 3,330 2,400 4,411
200606 421 4 2.451.992,86 1,71 314 293 3,280 2,765 4,419
200607 1 1 11.932,69 0,00 291 275 2,750 2,750 2,750
200608 2 1 16.750,78 0,00 300 259 2,770 2,750 2,800
200610 3 1 66.032,70 0,01 269 228 3,220 2,750 4,500
200612 2 1 31.770,75 0,01 320 285 3,510 2,750 5,750
200703 2 1 12.974,27 0,00 311 294 3,750 3,750 3,750
200704 1 1 06.042,97 0,00 360 344 3,750 3,750 3,750
200706 1 1 51.073,18 0,01 300 286 2,750 2,750 2,750
200709 2 1 84.579,52 0,01 338 327 3,270 3,000 3,750
200711 1 5 6.199,54 0,00 360 351 3,750 3,750 3,750
200802 1 1 45.091,39 0,01 360 342 2,750 2,750 2,750
200805 1 3 5.842,30 0,00 180 117 5,900 5,900 5,900
200811 1 1 00.704,90 0,00 240 219 3,950 3,950 3,950
200812 3 4 14.393,17 0,02 360 340 3,510 2,750 3,950
200902 1 7 0.463,50 0,00 360 342 3,950 3,950 3,950
200904 3 2 77.184,68 0,01 273 250 3,960 3,950 4,000
200907 1 3 4.022,29 0,00 180 107 4,950 4,950 4,950,
,TOTALES 23.645 2.480.551.485,71 100 327 307 3,250 1,850 5,900,
65,,
