,,,,,
,Fund,Incorporation Date,Initial Balance,Outstanding Nominal Balance 31/08/2005,
,TDA 4, FONDO DE TITULIZACIÓN HIPOTECARIA,22-Apr-98,150,253,026€,41,141,416,
,TDA 5, FONDO DE TITULIZACIÓN HIPOTECARIA,16-Oct-98,1,171,973,604€,286,005,216,
,TDA 6, FONDO DE TITULIZACIÓN HIPOTECARIA,20-Jan-99,351,500,000€,99,894,042,
,TDA 7, FONDO DE TITULIZACIÓN HIPOTECARIA,12-Mar-99,1,051,700,000€,368,524,858,
,TDA 8, FONDO DE TITULIZACIÓN HIPOTECARIA,9-Apr-99,150,200,000€,60,878,064,
,TDA 9, FONDO DE TITULIZACIÓN HIPOTECARIA,12-May-99,332,400,000€,121,838,128,
,TDA 10, FONDO DE TITULIZACIÓN HIPOTECARIA,21-Jul-99,240,500,000€,77,855,483,
,TDA 11, FONDO DE TITULIZACIÓN HIPOTECARIA,24-Jan-00,660,600,000€,256,343,479,
,TDA 12, FONDO DE TITULIZACIÓN HIPOTECARIA,26-Jun-00,513,900,000€,219,457,451,
,TDA 13-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,5-Dec-00,389,500,000€,182,950,750,
,TDA 14-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,20-Jun-01,601,100,000€,310,183,412,
,TDA 15-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,4-Nov-02,450,900,000€,303,758,647,
,TDA 16-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,26-May-03,532,000,000€,353,913,093,
,TDA 17-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,24-Oct-03,455,000,000€,344,646,043,
,TDA 18-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,14-Nov-03,421,000,000€,320,885,438,
,TDA 19-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,27-Feb-04,600,000,000€,479,270,561,
,TDA 20-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,25-Jun-04,421,000,000€,365,436,736,
,TDA 21-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,23-Jul-04,775,000,000€,630,909,920,
,TDA 22-Mixto, FONDO DE TITULIZACIÓN DE ACTIVOS,1-Dec-04,530,000,000€,481,389,130,
,TDA 23, FONDO DE TITULIZACIÓN DE ACTIVOS,18-Mar-05,860,000,000€,830,215,270,
,TDA PASTOR 1, FONDO DE TITULIZACIÓN DE ACTIVOS,25-Feb-03,494,600,000€,345,297,298,
,TDA CAM 1, FONDO DE TITULIZACIÓN DE ACTIVOS,13-Mar-03,1,000,000,000€,711,006,109,
,TDA CAM 2, FONDO DE TITULIZACIÓN DE ACTIVOS,27-Jun-03,1,100,000,000€,785,291,760,
,TDA CAM 3, FONDO DE TITULIZACIÓN DE ACTIVOS,16-Jan-04,1,200,000,000€,935,153,733,
,TDA CAM 4, FONDO DE TITULIZACIÓN DE ACTIVOS,9-Mar-05,2,000,000,000€,1,924,560,080,
,TDA IBERCAJA 1, FONDO DE TITULIZACIÓN DE ACTIVOS,8-Oct-03,600,000,000€,471,055,598,
,TDA CAJAMAR 2, FONDO DE TITULIZACIÓN DE ACTIVOS,18-May-05,1,007,500,000,1,007,500,000,
,FTPYME ICO-TDA 2, FONDO DE TITULIZACIÓN DE ACTIVOS,20-Feb-01,262,732,500€,30,863,080,
,FTPYME TDA 3, FONDO DE TITULIZACIÓN DE ACTIVOS,14-Feb-02,225,055,000€,77,712,839,
,FTPYME TDA 4, FONDO DE TITULIZACIÓN DE ACTIVOS,10-Oct-03,250,000,000€,156,363,295,
,FTPYME TDA 5, FONDO DE TITULIZACIÓN DE ACTIVOS,29-Dec-04,200,000,000€,165,322,340,
,FTPYME TDA SABADELL 1, FONDO DE TITULIZACIÓN DE ACTIVOS,3-Jun-02,600,000,000€,273,175,797,
,FTPYME TDA SABADELL 2, FONDO DE TITULIZACIÓN DE ACTIVOS,12-Nov-03,500,000,000€,500,000,000,
,FTPYME TDA CAM 1, FONDO DE TITULIZACIÓN DE ACTIVOS,17-Jun-02,600,000,000€,257,967,966,
,FTPYME TDA CAM 2, FONDO DE TITULIZACIÓN DE ACTIVOS,17-Nov-04,750,000,000€,648,714,723,
,CIBELES III FTPYME, FONDO DE TITULIZACIÓN DE ACTIVOS,19-Dec-03,500,000,000€,500,000,000,
,FTPYME TDA BANCA MARCH, FONDO DE TITULIZACIÓN DE ACTIVOS,25-Oct-04,200,000,000€,178,996,932,
,EAS SPAIN, FONDO DE TITULIZACIÓN DE ACTIVOS,25-Jul-02,314,971,503€,38,043,321,
,TDA AUTO ABS 2002, FONDO DE TITULIZACIÓN DE ACTIVOS,8-Jul-02,950,000,000€,498,391,611,
,GLOBALDRIVE (SPAIN) 2002-1 TDA, FONDO DE TITULIZACIÓN DE ACTIVOS,3-Dec-02,488,000,000€,488,000,000,
,GLOBALDRIVE DEALER FLOORPLAN (SPAIN) TdA, FONDO DE TITULIZACIÓN DE ACTIVOS,5-Apr-04,191.209.701,39 - Máximo 3.000.000.000,683,251,827,
,GLOBALDRIVE SERIES 3 (SPAIN) TDA, FONDO DE TITULIZACIÓN DE ACTIVOS,10-May-05,499,999,948,499,999,948,
,BANCO FINANTIA SOFINLOC Nº 1, FONDO DE TITULIZACIÓN DE ACTIVOS,1-Jul-04,150,000,000€,78,346,206,
,BANCO FINANTIA SOFINLOC TDA Nº 2, FONDO DE TITULIZACIÓN DE ACTIVOS,11-Mar-05,500,000,000€,42,502,876,
,CAP-TDA 1, FONDO DE TITULACION DE ACTIVOS,25-Jun-03,300,000,000€,300,000,000,
,FONDO DE TITULIZACIÓN DE ACTIVOS KWH-1,30-Apr-04,202,000,000€,202,000,000,
,CÉDULAS TDA 1,12-Jun-03,1,750,000,000€,1,750,000,000,
,CÉDULAS TDA 2,13-Nov-03,2,000,000,000€,2,000,000,000,
,CÉDULAS TDA 3,25-Feb-04,2,000,000,000€,2,000,000,000,
,CÉDULAS TDA 4,10-Jun-04,1,500,000,000€,1,500,000,000,
,CÉDULAS TDA 5,24-Nov-04,1,500,000,000€,1,500,000,000,
,CÉDULAS TDA 6,18-May-05,3,000,000,000€,1,500,000,000,
,CÉDULAS TDA 7,10-Jun-05,2,000,000,000€,2,000,000,000,
,FONDO DE TITULACION DE ACTIVOS RESULTANTES DE LA MORATORIA NUCLEAR,25-Apr-96,4,297,236,546€,1,005,973,597,
,CAJA SAN FERNANDO CDO I, FONDO DE TITULIZACIÓN DE ACTIVOS,17-Feb-05,180.150.000$ + 128.200.000€,172.301.891,2$ + 124.495.424€,
28,,,,,
