,orado con datos a 20/09/2006
,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA CAM 7
(División por Tipo de Referencia)
,
,VENCIMIENTO VENCIMIENTO TIPO
TIPO ACTUAL
SALDO INICIAL RESIDUAL DIFERENCIAL
SALDO ACTUAL PONDERADO Min. TIPO Máx. TIPO
TIPO REFERENCIA NUM ACTUAL PONDERADO PONDERADO PONDERADO
EUROS POR SALDO ACTUAL ACTUAL
% POR SALDO POR SALDO POR SALDO
ACTUAL
INICIAL (meses) ACTUAL (meses) ACTUAL
,IRPH CAJAS 5.793 6 70.067.729,85 26,76 340 323 3,880 0,250 2,500 5,321
0,00 - 0,50 4.251 4 98.301.384,54 74,37 347 329 3,780 0,150 2,500 4,950
0,50 - 1,00 1.503 1 67.790.883,74 25,04 320 305 4,140 0,540 2,500 5,038
1,00 - 1,50 37 3 .719.918,18 0,56 358 343 4,390 1,010 3,000 5,238
1,50 - 2,00 2 2 55.543,39 0,04 395 378 5,280 1,500 5,251 5,321
EURIBOR 12.467 1 .832.925.998,55 73,20 352 334 3,640 0,860 2,170 5,308
0,00 - 0,50 273 5 0.167.803,48 2,74 350 330 3,330 0,440 2,418 4,258
0,50 - 1,00 6.141 9 82.938.474,76 53,63 353 336 3,530 0,710 2,170 4,600
1,00 - 1,50 5.751 7 65.039.208,96 41,74 350 333 3,800 1,050 2,500 5,000
1,50 - 2,00 297 3 3.701.290,49 1,84 334 315 4,070 1,510 2,750 5,289
2,00 - 2,50 5 1 .079.220,86 0,06 293 273 4,810 2,000 3,250 5,308
MIBOR 19 1 .127.470,06 0,05 255 157 3,850 0,980 3,000 4,500
0,50 - 1,00 3 1 90.803,64 16,92 233 141 3,570 0,750 3,000 4,000
1,00 - 1,50 16 9 36.666,42 83,08 259 160 3,910 1,030 3,250 4,500
,TOTAL 18.279 2.504.121.198,46 100 348 331 3,710 2,170 5,321
72,
