,ACTIVO,,,Euros,,,PASIVO,,,Euros,
,,,,,,,,,,,
Participaciones y Certificados*,,,1.749.999.999,99,,,Bonos de la Serie A1,,,250.000.000,,
,,,,,,Bonos de la Serie A2,,,1.207.300.000,,
,,,,,,Bonos de la Serie A3,,,200.000.000,,
,,,,,,Bonos de la Serie B,,,92.700.000,,
Tesorería,,,,,,,,,,,
Fondo de Reserva,,,21.875.000,,,Préstamo Participativo,,,21.875.000,,
Gastos Iniciales Activados,,,1.950.000,,,Préstamo Gastos Iniciales,,,1.950.000,,
Otros Recursos Depositados,,,0,01,,,,,,,,
,TOTAL ACTIVO,,,1.773.825.000,,,TOTAL PASIVO,,,1.773.825.000,
