Préstamos
Intervalo Importes
Hipotecarios
(euros) (en euros) % nº %
12.000,00 - 49.999,99 18.366.190,43 1,32% 521 4,96%
50.000,00 - 99.999,99 257.252.891,03 18,47% 3290 31,33%
100.000,00 - 149.999,99 401.820.371,02 28,85% 3311 31,53%
150.000,00 - 199.999,99 287.178.441,90 20,62% 1733 16,50%
200.000,00 - 249.999,99 148.424.234,95 10,66% 707 6,73%
250.000,00 - 299.999,99 86.954.182,99 6,24% 354 3,37%
300.000,00 - 349.999,99 57.468.042,65 4,13% 211 2,01%
350.000,00 - 399.999,99 37.733.672,45 2,71% 127 1,21%
400.000,00 - 449.999,99 37.388.392,07 2,68% 104 0,99%
450.000,00 - 499.999,99 20.697.091,45 1,49% 52 0,50%
500.000,00 - 549.999,99 22.063.346,17 1,58% 51 0,49%
550.000,00 - 599.999,99 11.514.910,12 0,83% 25 0,24%
600.000,00 - 649.999,99 2.683.757,67 0,19% 7 0,07%
650.000,00 - 699.999,99 536.773,51 0,04% 2 0,02%
700.000,00 - 749.999,99 512.995,12 0,04% 2 0,02%
750.000,00 - 799.999,99 436.865,55 0,03% 1 0,01%
850.000,00 - 899.999,99 645.654,00 0,05% 2 0,02%
900.000,00 - 949.999,99 350.429,09 0,03% 1 0,01%
1.400.000,00 - 1.435.000,00 558.956,26 0,04% 1 0,01%
Totales 1.392.587.198,43 100,00 10.502 100,00
