FECHA DE FORMALIZACIÓN DE LOS PRÉSTAMOS ASOCIADOS NO HIPOTECARIOS
Préstamos Asociados
Intervalo Principal pendiente
No Hipotecarios
(en euros) % nº %
1/10/2000 - 31/12/2000 10.189,95 0,01% 1 0,03%
1/01/2001 - 31/03/2001 6.108,17 0,01% 2 0,05%
1/07/2001 - 30/09/2001 7.983,50 0,01% 1 0,03%
1/10/2001 - 31/12/2001 25.872,73 0,03% 3 0,08%
1/04/2002 - 30/06/2002 18.843,58 0,02% 3 0,08%
1/07/2002 - 30/09/2002 28.789,26 0,04% 1 0,03%
1/10/2002 - 31/12/2002 111.545,80 0,14% 5 0,13%
1/01/2003 - 31/03/2003 74.046,97 0,09% 8 0,21%
1/04/2003 - 30/06/2003 230.476,21 0,29% 13 0,35%
1/07/2003 - 30/09/2003 195.910,42 0,25% 10 0,27%
1/10/2003 - 31/12/2003 339.341,15 0,42% 14 0,37%
1/01/2004 - 31/03/2004 335.414,87 0,42% 17 0,45%
1/04/2004 - 30/06/2004 1.043.748,24 1,31% 55 1,47%
1/07/2004 - 30/09/2004 1.129.897,06 1,41% 61 1,63%
1/10/2004 - 31/12/2004 1.664.800,07 2,08% 86 2,30%
1/01/2005 - 31/03/2005 4.409.184,97 5,52% 175 4,68%
1/04/2005 - 30/06/2005 29.420.769,78 36,83% 1.394 37,27%
1/07/2005 - 30/09/2005 25.581.430,25 32,02% 1.195 31,95%
1/10/2005 - 30/10/2005 15.252.779,63 19,09% 696 18,61%
Totales: 79.887.132,61 100,00% 3.740 100,00%
