PRINCIPAL PENDIENTE DE LOS PRÉSTAMOS HIPOTECARIOS DESGLOSADOS POR
PROVINCIAS
Provincias Principal pendiente Préstamos Hipotecarios
(en euros) % nº %
ÁLAVA 1.278.060 0,11% 12 0,11%
ALBACETE 7.097.815 0,64% 67 0,64%
ALICANTE 59.446.958 5,53% 581 5,53%
ALMERÍA 30.845.064 2,33% 245 2,33%
ASTURIAS 36.902.732 3,67% 385 3,67%
ÁVILA 1.190.371 0,11% 12 0,11%
BADAJOZ 8.563.390 0,99% 104 0,99%
BALEARES 60.276.944 3,96% 416 3,96%
BARCELONA 152.039.990 7,53% 791 7,53%
BURGOS 4.274.585 0,37% 39 0,37%
CÁCERES 4.159.633 0,44% 46 0,44%
CÁDIZ 52.690.582 4,39% 461 4,39%
CANTABRIA 14.663.354 1,12% 118 1,12%
CASTELLÓN 27.760.009 2,22% 233 2,22%
CIUDAD REAL 7.452.117 0,83% 87 0,83%
CÓRDOBA 23.986.640 2,01% 211 2,01%
CUENCA 936.257 0,11% 12 0,11%
GIRONA 37.017.169 2,22% 233 2,22%
GRANADA 37.481.044 2,68% 281 2,68%
GUADALAJARA 15.851.222 0,74% 78 0,74%
GUIPÚZCOA 3.747.863 0,23% 24 0,23%
HUELVA 25.066.201 2,01% 211 2,01%
HUESCA 3.575.777 0,33% 35 0,33%
JAÉN 9.356.119 0,99% 104 0,99%
LA CORUÑA 25.983.148 2,28% 239 2,28%
LA RIOJA 1.845.258 0,18% 19 0,18%
LAS PALMAS 61.532.927 5,29% 556 5,29%
LEÓN 6.146.575 0,63% 66 0,63%
LÉRIDA 7.514.542 0,69% 72 0,69%
LUGO 3.215.654 0,38% 40 0,38%
MADRID 231.671.960 12,97% 1.362 12,97%
MÁLAGA 84.612.377 5,35% 562 5,35%
MURCIA 20.901.545 1,91% 201 1,91%
NAVARRA 4.733.407 0,33% 35 0,33%
ORENSE 4.004.176 0,38% 40 0,38%
PALENCIA 1.217.271 0,11% 12 0,11%
PONTEVEDRA 18.229.543 1,47% 154 1,47%
SALAMANCA 2.608.852 0,31% 33 0,31%
SEGOVIA 3.207.516 0,23% 24 0,23%
SEVILLA 76.869.332 6,21% 652 6,21%
SORIA 123.531 0,02% 2 0,02%
TARRAGONA 38.650.629 2,21% 232 2,21%
TENERIFE 32.818.874 2,89% 304 2,89%
TERUEL 468.950 0,03% 3 0,03%
TOLEDO 41.185.929 2,75% 289 2,75%
VALENCIA 55.396.852 4,62% 485 4,62%
VALLADOLID 9.023.177 0,83% 87 0,83%
VIZCAYA 21.298.047 1,31% 138 1,31%
ZAMORA 1.033.462 0,12% 13 0,12%
ZARAGOZA 12.633.769 0,91% 96 0,91%
Totales: 1.392.587.198 100,00% 10.502 100,00%
