Intervalo Principal pendiente Préstamos
(miles de euros
salvo el total, en
(euros) euros) % nº %
500 - 49.999,99 10.409,37 0,51 265 1,9
50.000,00 - 99.999,99 290.739,01 14,24 3.646 26,2
100.000,00 - 149.999,99 571.581,22 28 4.566 32,81
150.000,00 - 199.999,99 551.942,64 27,04 3.205 23,03
200.000,00 - 249.999,99 281.111,46 13,77 1.275 9,16
250.000,00 - 299.999,99 120.921,06 5,92 446 3,2
300.000,00 - 349.999,99 74.741,37 3,66 232 1,66
350.000,00 - 399.999,99 45.422,92 2,22 123 0,88
400.000,00 - 449.999,99 18.135,87 0,88 43 0,3
450.000,00 - 499.999,99 19.792,07 0,96 42 0,3
500.000,00 - 549.999,99 7.404,65 0,36 14 0,1
550.000,00 - 599.999,99 11.491,09 0,56 20 0,14
600.000,00 - 649.999,99 6.217,91 0,3 10 0,07
650.000,00 - 699.999,99 2.643,28 0,12 4 0,02
700.000,00 - 749.999,99 3.642,11 0,17 5 0,03
750.000,00 - 799.999,99 2.375,40 0,11 3 0,02
800.000,00 - 849.999,99 800,52 0,03 1 0,00
850.000,00 - 899.999,99 865,48 0,04 1 00,00
900.000,00 - 949.999,99 900,00 0,04 1 00,00
950.000,00 - 999.999,99 967,92 0,04 1 00,00
1.000.000,00 - 1.049.999,99 0,00 0 0 00,00
1.050.000,00 - 1.099.999,99 2.147,32 0,1 2 0,01
1.100.000,00 - 1.149.999,99 1.144,80 0,05 1 0,00
1.150.000,00 - 1.199.999,99 1.158,81 0,05 1 0,00
1.200.000,00 - 1.249.999,99 0,00 0 0 0,00
1.250.000,00 - 1.299.999,99 1.254,51 0,06 1 0,00
1.300.000,00 - 1.349.999,99 3.940,51 0,19 3 0,02
1.350.000,00 - 1.399.999,99 0,00 0 0 0,00
1.400.000,00 - 1.449.999,99 0,00 0 0 0,00
1.450.000,00 - 1.499.999,99 0,00 0 0 0,00
1.500.000,00 - 1.549.999,99 1.500,00 0,07 1 0,00
1.550.000,00 - 1.599.999,99 0,00 0 0 0,00
1.600.000,00 - 1.649.999,99 0,00 0 0 0,00
1.650.000,00 - 1.699.999.99 0,00 0 0 0,00
1.700.000,00 - 1.749.999.99 1.726,23 0,08 1 0,00
1.750.000,00 - 1.799.999,99 0,00 0 0 0,00
1.800.000,00 - 1.849.999,99 3.650,61 0,17 2 0,01
1.850.000,00 - 1.899.999,99 0,00 0 0 0,00
1.900.000,00 - 2.156.282,96 2.156,82 0,1 1 0,00
Totales : 2.040.785.095,04 100 13.916 100
