Intervalo Importes Préstamos
(miles de euros
Inicial Final salvo el total, en
(euros) (euros) euros) % nº %
8.000,00 44.999,99 3.735,83 0,17 108 0,77
45.000,00 134.999,99 628.293,97 29,60 6.434 46,23
135.000,00 224.999,99 980.838,52 46,20 5.745 41,28
225.000,00 314.999,99 291.048,14 13,71 1.131 8,12
315.000,00 404.999,99 110.318,26 5,19 315 2,26
405.000,00 494.999,99 43.322,98 2,04 97 0,69
495.000,00 584.999,99 18.175,23 0,85 34 0,24
585.000,00 674.999,99 14.921,93 0,70 24 0,17
675.000,00 764.999,99 4.299,00 0,20 6 0,04
765.000,00 854.999,99 3.164,70 0,14 4 0,02
855.000,00 944.999,99 1.802,00 0,08 2 0,01
945.000,00 1.034.999,99 1.024,41 0,04 1 0
1.035.000,00 1.124.999,99 3.240,00 0,15 3 0,02
1.125.000,00 1.214.999,99 3.565,00 0,16 3 0,02
1.215.000,00 1.304.999,99 1.300,00 0,06 1 0
1.305.000,00 1.394.999,99 1.352,27 0,06 1 0
1.395.000,00 1.484.999,99 2.845,53 0,13 2 0,01
1.485.000,00 1.574.999,99 1.500,00 0,07 1 0
1.575.000,00 1.664.999,99 0,00 0,00 0 0
1.665.000,00 1.754.999,99 0,00 0,00 0 0
1.755.000,00 1.844.999,99 3.603,00 0,16 2 0,01
1.845.000,00 1.934.999,99 1.847,61 0,08 1 0
1.935.000,00 2.413.000,00 2.413,00 0,11 1 0
Totales: 2.122.611.445,45 100,00 13.916 100,00
