PRINCIPAL PENDIENTE DE LOS PRÉSTAMOS DESGLOSADOS POR AUTONOMÍAS
Comunidad Autónoma Principal pendiente Préstamos
(miles de euros
salvo el total, en
euros) % nº %
ANDALUCIA 308.190,18 15,1 2.525 18,14
ARAGÓN 51.025,55 2,5 324 2,32
ASTURIAS 24.018,01 1,17 201 1,44
BALEARES 50.642,47 2,48 324 2,32
CANARIAS 202.178,90 9,9 1.522 10,93
CANTABRIA 38.297,52 1,87 265 1,9
CASTILLA LA-MANCHA 55.992,79 2,74 433 3,11
CASTILLA-LEÓN 80.523,24 3,94 624 4,48
CATALUÑA 364.701,14 17,87 2.064 14,83
CEUTA 1.957,81 0,09 17 0,12
EXTREMADURA 26.234,15 1,28 279 2
GALICIA 73.980,42 3,62 577 4,14
LA RIOJA 8.960,87 0,43 61 0,43
MADRID 352.507,23 17,27 1.865 13,4
MELILLA 4.177,70 0,2 39 0,28
MURCIA 48.445,36 2,37 397 2,85
NAVARRA 11.946,71 0,58 77 0,55
PAÍS VASCO 145.423,77 7,12 821 5,89
VALENCIA 191.581,20 9,38 1.501 10,78
Totales: 2.040.785.095,04 100,00 13.916 100,00
