VALORES DE TASACIÓN SOBRE EL PRINCIPAL PENDIENTE
Intervalo Final Principal pendiente Préstamos
(miles de euros
salvo el total, en
euros) % nº %
0,43 59,99 6.623,68 0,32 51 0,36
60,00 64,99 2.827,47 0,13 12 0,08
65,00 69,99 1.220,91 0,05 6 0,04
70,00 74,99 2.009,10 0,09 17 0,12
75,00 79,99 93.392,32 4,57 699 5,02
80,00 84,99 622.522,90 30,50 4.322 31,05
85,00 89,99 468.968,23 22,97 3.138 22,54
90,00 94,99 454.308,20 22,26 3.021 21,7
95,00 99,99 284.278,79 13,92 1.860 13,36
100,00 104,99 47.337,42 2,31 312 2,24
105,00 109,99 25.591,43 1,25 212 1,52
110,00 114,99 18.439,31 0,90 167 1,2
115,00 119,80 13.265,28 0,65 99 0,71
Totales: 2.040.785.095,04 100,00 13.916 100,00
