Fechas,EURIBOR A 3
MESES,Bonos
Serie A,Bonos
Serie B,Bonos
Serie C,Bonos
Serie D,Bonos
Serie E,Bonos
Serie F
16/02/2006,2,604%,2,744%,2,804%,2,874%,3,104%,4,504%,4,504%
16/03/2006,2,704%,2,844%,2,904%,2,974%,3,204%,4,604%,4,604%
18/04/2006,2,769%,2,909%,2,969%,3,039%,3,269%,4,669%,4,669%
18/05/2006,2,893%,3,033%,3,093%,3,163%,3,393%,4,793%,4,793%
16/06/2006,2,966%,3,106%,3,166%,3,236%,3,466%,4,866%,4,866%
18/07/2006,3,104%,3,244%,3,304%,3,374%,3,604%,5,004%,5,004%
17/08/2006,3,234%,3,374%,3,434%,3,504%,3,734%,5,134%,5,134%
18/09/2006,3,340%,3,480%,3,540%,3,610%,3,840%,5,240%,5,240%
18/10/2006,3,511%,3,651%,3,711%,3,781%,4,011%,5,411%,5,411%
16/11/2006,3,598%,3,738%,3,798%,3,868%,4,098%,5,498%,5,498%
27/11/2006,3,625%,3,765%,3,825%,3,895%,4,125%,5,525%,5,525%
