Intervalo Principal pendiente Préstamos
(miles de euros
salvo el total, en
(euros) euros) % nº %
0,01, - 5.999,99 350.783,19 16,00 118.921 53,51
6.000,00 – 11.999,99 428.713,28 19,56 48.735 21,93
12.000,00 – 17.999,99 363.430,66 16,58 24.612 11,07
18.000,00 – 23.999,99 264.960,14 12,08 12.883 5,80
24.000,00 – 29.999,99 197.941,62 9,03 7.326 3,30
30.000,00 – 35.999,99 95.748,81 4,36 2.931 1,32
36.000,00 – 41.999,99 57.682,83 2,63 1.485 0,67
42.000,00 – 47.999,99 52.344,94 2,38 1.164 0,52
48.000,00 – 53.999,99 47.490,79 2,16 938 0,42
54.000,00 – 59.999,99 38.991,13 1,77 686 0,31
60.000,00 – 65.999,99 20.248,14 0,92 325 0,15
66.000,00 – 71.999,99 16.040,84 0,73 233 0,10
72.000,00 – 77.999,99 13.431,29 0,61 180 0,08
78.000,00 – 83.999,99 15.431,64 0,70 191 0,09
84.000,00 – 89.999,99 13.096,11 0,59 151 0,07
90.000,00 – 95.999,99 11.451,18 0,52 124 0,06
96.000,00 – 101.999,99 14.555,64 0,66 147 0,07
102.000,00 – 107.999,99 10.696,13 0,48 102 0,05
108.000,00 – 113.999,99 8.209,77 0,37 74 0,03
114.000,00 – 119.999,99 9.110,47 0,41 78 0,04
120.000,00 – 169.999,99 82.787,84 3,78 590 0,27
170.000,00 – 219.999,99 50.575,30 2,31 255 0,11
220.000,00 – 269.999,99 20.247,50 0,92 90 0,04
270.000,00 – 319.999,99 3.279,00 0,15 11 0,00
320.000,00 – 369.999,99 705,12 0,03 2 0,00
370.000,00 – 419.999,99 775,14 0,04 2 0,00
420.000,00 – 469.999,99 0,00 0,00 0 0,00
470.000,00 – 500.000,00 3.000,00 0,14 6 0,00
Totales : 2.191.728.516,87 100,00 222.242 100,00
