PRINCIPAL PENDIENTE DE LOS PRÉSTAMOS DESGLOSADOS POR
COMUNIDADES AUTONOMAS
Comunidad Autónoma Principal pendiente Préstamos
(miles de euros
salvo el total, en
euros) % nº %
01 Andalucía 327.715,96 14,95 31.804 14,31
02 Aragón 72.456,46 3,30 6.676 3,00
03 Asturias 33.644,75 1,53 3.630 1,63
04 Baleares 48.155,00 2,19 4.979 2,24
05 Canarias 189.922,13 8,66 20.824 9,36
06 Cantabria 49.593,64 2,26 4.618 2,07
07 Castilla-La mancha 72.118,41 3,29 7.875 3,54
08 Castilla-León 114.411,81 5,22 13.012 5,85
09 Cataluña 273.252,40 12,46 27.767 12,49
10 Ceuta 2.490,38 0,11 277 0,12
11 Extremadura 36.814,15 1,67 4.429 1,99
12 Galicia 85.929,82 3,92 11.990 5,39
13 La Rioja 16.338,14 0,74 1.697 0,76
14 Madrid 533.630,88 24,34 49.034 22,06
15 Melilla 4.214,39 0,19 418 0,18
16 Murcia 49.676,74 2,26 5.313 2,39
17 Navarra 27.235,22 1,24 2.328 1,04
18 País Vasco 88.839,32 4,05 7.245 3,25
19 Valencia 165.288,84 7,54 18.326 8,24
Totales: 2.191.728.516,87 100,00 222.242 100,00
