Cartera de préstamos hipotecarios al día 23.10.2006
Clasificación por tipos de interés nominales,,,
Intervalo % Tipo Interés,Préstamos
%,Principal pendiente
(euros) %,%Tipo
interés*
2,00 - 2,24,9 0,09,1.697.396,30 0,17,2,21
2,25 - 2,49,6 0,06,746.738,79 0,08,2,41
2,50 - 2,74,108 1,04,14.128.372,08 1,44,2,71
2,75 - 2,99,720 6,90,84.293.673,45 8,56,2,89
3,00 - 3,24,1.060 10,16,115.692.224,86 11,75,3,10
3,25 - 3,49,1.203 11,53,123.519.637,30 12,55,3,36
3,50 - 3,74,1.534 14,70,152.377.443,40 15,48,3,60
3,75 - 3,99,1.344 12,88,123.639.549,65 12,56,3,86
4,00 - 4,24,1.905 18,26,179.235.256,94 18,21,4,11
4,25 - 4,49,1.425 13,66,120.709.363,17 12,26,4,34
4,50 - 4,74,643 6,16,45.619.682,54 4,63,4,57
4,75 - 4,99,282 2,70,16.423.310,58 1,67,4,83
5,00 - 5,24,139 1,33,4.702.129,44 0,48,5,06
5,25 - 5,49,28 0,27,1.058.803,12 0,11,5,30
5,50 - 5,74,16 0,15,372.772,58 0,04,5,55
5,75 - 5,99,7 0,07,172.971,57 0,02,5,77
6,00 - 6,24,2 0,02,25.809,63 0,00,6,17
7,00 - 7,24,1 0,01,45.186,44 0,00,7,00
Total 10.432 100,00 984.460.321,84 100,00,,,
Media pond erada: 3.72
Media simple: 3,81
Mínimo: 2,17
Máximo: 7,00
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,,,
